effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,BHCRYF,-0.13564909720287582,1.3029900712162303,-0.10410600986104133,0.9170852215973988,PIWO
fixed,cond,NA,BHCRMF,1.4788257657914996,0.8276317867677271,1.7868160568928566,0.07396722327880322,PIWO
fixed,cond,NA,BHCWRI/WSH,0.15514185102165343,1.3388593625030256,0.1158761370810542,0.9077507081267053,PIWO
ran_pars,cond,Station,sd__(Intercept),1.5059910842396531,NA,NA,NA,PIWO
effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-1.590381387820323,0.29252529652592707,-5.43673113644503,5.426692941338829e-8,YBSA
fixed,cond,NA,BHCCMF,-0.24298725430887755,0.4385516919509074,-0.55406753358525,0.5795326283058257,YBSA
fixed,cond,NA,BHCDSH,0.479552304866617,0.4630728723481385,1.035587125704244,0.3003948007240782,YBSA
fixed,cond,NA,BHCDYF,0.4565234818746067,0.36340335818822855,1.2562445326609932,0.20902732541072655,YBSA
fixed,cond,NA,BHCDMF,0.3263784531408273,0.37810656559110595,0.8631917105977506,0.388032070561865,YBSA
fixed,cond,NA,BHCRSH,-0.12838801446809606,0.4865372974961052,-0.2638811353802199,0.7918715123632214,YBSA
fixed,cond,NA,BHCRYF,0.08233638661413542,0.5110791694235424,0.1611029984004327,0.8720122787123824,YBSA
fixed,cond,NA,BHCRMF,0.04897801050019634,0.42794519900360795,0.11444925802236518,0.9088816682323091,YBSA
fixed,cond,NA,BHCWRI/WSH,0.3173961381780631,0.5456172925269802,0.5817193526034885,0.5607557338695046,YBSA
ran_pars,cond,Station,sd__(Intercept),0.9040042476066967,NA,NA,NA,YBSA
