nrow,nlevels,successes,trials,mean,lower,upper
24,3,0,25,0,0,0.13718517153071252
296,38,20,25,0.8,0.5929625677213227,0.931688535987516
568,72,22,25,0.88,0.6878096927137646,0.9745346033522668
844,107,24,25,0.96,0.796483086077586,0.9989878003006891
1089,142,24,25,0.96,0.796483086077586,0.9989878003006891
1293,176,25,25,1,0.8628148284692875,1
1491,211,25,25,1,0.8628148284692875,1
1692,246,25,25,1,0.8628148284692875,1
1890,280,25,25,1,0.8628148284692875,1
2094,315,25,25,1,0.8628148284692875,1
