Sample Station Label,Year,BHC20_100,day1,day2,day3,day4,tssr1,tssr2,tssr3,tssr4,dur1,dur2,dur3,dur4,visit1,visit2,visit3,visit4
PC11-H_07,2011,DYF,0.408219178,,0.526027397,,0.068055556,,0.069444444,,0.08,,0.08,,0,,0,
PC11-H_08,2011,DYF,0.408219178,,0.526027397,,0.079861111,,0.079861111,,0.08,,0.08,,0,,0,
PC11-H_09,2011,DYF,0.408219178,,0.526027397,,0.089583333,,0.088194444,,0.08,,0.08,,0,,1,
PC11-H_10,2011,CMF,0.408219178,,0.526027397,,0.099305556,,0.097916667,,0.08,,0.08,,0,,0,
PC11-H_11,2011,DYF,0.408219178,,0.526027397,,0.108333333,,0.106944444,,0.08,,0.08,,0,,0,
PC11-H_12,2011,DYF,0.408219178,,0.526027397,,0.11875,,0.117361111,,0.08,,0.08,,0,,0,
PC11-H_13,2011,DYF,0.408219178,0.452054795,0.526027397,,0.129861111,0.159027778,0.129861111,,0.08,0.08,0.08,,0,0,0,
PC11-H_14,2011,DYF,0.408219178,0.452054795,0.526027397,,0.141666667,0.15,0.138194444,,0.08,0.08,0.08,,0,0,0,
PC11-H_15,2011,DYF,0.408219178,0.452054795,0.526027397,,0.15,0.140277778,0.147222222,,0.08,0.08,0.08,,0,0,1,
PC11-H_16,2011,CMF,0.408219178,,0.526027397,,0.158333333,,0.15625,,0.08,,0.08,,0,,0,
PC11-H_17,2011,WSH,,0.452054795,,,,0.039583333,,,,0.08,,,,0,,
PC11-H_18,2011,CYF,,0.452054795,,,,0.051388889,,,,0.08,,,,0,,
PC11-H_19,2011,CMF,,0.452054795,,,,0.059722222,,,,0.08,,,,0,,
PC11-H_20,2011,CYF,,0.452054795,,,,0.067361111,,,,0.08,,,,0,,
PC11-H_21,2011,CYF,,0.452054795,,,,0.075,,,,0.08,,,,0,,
PC11-H_22,2011,CMF,,0.452054795,,,,0.084027778,,,,0.08,,,,0,,
PC11-H_23,2011,CMF,,0.452054795,,,,0.093055556,,,,0.08,,,,0,,
PC11-H_24,2011,CMF,,0.452054795,,,,0.102777778,,,,0.08,,,,0,,
PC11-H_25,2011,CMF,,0.452054795,,,,0.111805556,,,,0.08,,,,0,,
PC11-H_26,2011,DYF,,0.452054795,,,,0.120833333,,,,0.08,,,,0,,
PC11-H_27,2011,DYF,,0.452054795,,,,0.132638889,,,,0.08,,,,0,,
PC11-H_28,2011,RSH,,,0.526027397,,,,-0.000694444,,,,0.08,,,,0,
PC11-HW-12_11,2011,RSH,,,,0.460273973,,,,0.002083333,,,,0.08,,,,0
PC11-HW-12_12,2011,DMF,,0.38630137,,,,0.050694444,,,,0.08,,,,0,,
PC11-HW-12_13,2011,RSH,,0.38630137,,0.460273973,,0.057638889,,0.007638889,,0.08,,0.08,,0,,0
PC11-HW-12_14,2011,RSH,,0.38630137,,0.460273973,,0.063888889,,0.0125,,0.08,,0.08,,0,,0
PC11-HW-12_15,2011,RSH,,0.38630137,,0.460273973,,0.070138889,,0.018055556,,0.08,,0.08,,0,,0
PC11-HW-12_16,2011,RSH,,0.38630137,,0.460273973,,0.076388889,,0.023611111,,0.08,,0.08,,0,,0
PC11-HW-12_17,2011,RSH,,0.38630137,0.410958904,0.460273973,,0.084027778,0.036111111,0.029166667,,0.08,0.08,0.08,,0,0,0
PC11-HW-12_18,2011,RMF,,0.38630137,0.410958904,0.460273973,,0.088888889,0.029166667,0.034722222,,0.08,0.08,0.08,,0,0,0
PC11-HW-12_19,2011,DMF,,0.38630137,,0.460273973,,0.097916667,,0.045833333,,0.08,,0.08,,0,,0
PC11-HW-12_20,2011,CYF,,0.38630137,0.410958904,0.460273973,,0.103472222,0.007638889,0.059722222,,0.08,0.08,0.08,,0,0,0
PC11-HW-12_21,2011,DYF,,0.38630137,,0.460273973,,0.111805556,,0.070138889,,0.08,,0.08,,0,,0
