Model,AICc,Species
m8,521.4963172,BLJA
m1,350.2719598,OSFL
m4,350.6625387,OSFL
m3,352.2786345,OSFL
m5,352.687399,OSFL
m9,353.4067544,OSFL
m0,368.458484,OSFL
m2,369.7897721,OSFL
m7,371.324654,OSFL
m8,373.2449433,OSFL
m8,408.6406064,EVGR
m9,412.8610337,EVGR
m7,414.3376382,EVGR
m3,426.7863451,EVGR
m5,427.4484375,EVGR
m0,433.4050083,EVGR
m1,433.8659293,EVGR
m2,434.118667,EVGR
m4,434.6768296,EVGR
m1,343.5492356,BRBL
m3,344.7835181,BRBL
m4,345.0323205,BRBL
m5,346.0119737,BRBL
m9,347.2185766,BRBL
m2,364.5419626,BRBL
m7,365.350018,BRBL
m8,366.5977012,BRBL
m0,367.2158497,BRBL
m4,289.0146302,COWA
m5,289.8692257,COWA
m9,291.057573,COWA
m1,296.0345558,COWA
m2,296.2242105,COWA
m3,296.8898566,COWA
m7,297.5733621,COWA
m8,298.4632445,COWA
m0,303.5509654,COWA
m9,220.2345437,BKPW
m3,222.3401585,BKPW
m5,224.3277252,BKPW
m8,228.7053975,BKPW
m1,259.2023228,BKPW
m4,261.1948419,BKPW
m7,264.3916486,BKPW
m0,266.5863685,BKPW
m4,233.2203477,WIWR
m9,233.5526219,WIWR
m5,235.1954265,WIWR
m3,237.0682218,WIWR
m7,241.8081449,WIWR
m8,243.3704952,WIWR
m2,244.4395589,WIWR
m0,275.9453591,WIWR
m8,147.3618663,CMWA
m9,149.2566447,CMWA
m7,151.8465119,CMWA
m5,152.8609173,CMWA
m3,153.2830945,CMWA
m2,155.1611566,CMWA
m4,156.608969,CMWA
m0,156.6724081,CMWA
m1,157.0005501,CMWA
m0,134.8843058,PHVI
m2,136.831091,PHVI
m7,138.7818494,PHVI
m8,140.0105797,PHVI
m1,143.4905519,PHVI
m3,144.570611,PHVI
m4,145.3889559,PHVI
m5,146.4775921,PHVI
m9,148.3684978,PHVI
m0,134.8858047,WBNU
m2,136.606886,WBNU
m8,137.2980763,WBNU
m7,137.9957084,WBNU
m3,142.1059381,WBNU
m1,142.8036474,WBNU
m5,143.7938598,WBNU
m4,144.5238724,WBNU
m9,145.4617171,WBNU
m7,96.65742321,DUFL
m8,98.67125171,DUFL
m2,100.5444311,DUFL
m1,100.5628351,DUFL
m0,100.6237201,DUFL
m4,101.3578294,DUFL
m3,102.5031015,DUFL
m5,103.2848462,DUFL
m9,104.715164,DUFL
m8,310.4285857,EAPH
m7,311.581239,EAPH
m0,314.8655177,EAPH
m2,316.7684707,EAPH
m9,319.0354341,EAPH
m3,322.4205027,EAPH
m1,323.6906186,EAPH
m5,324.3248998,EAPH
m4,325.5981742,EAPH
m9,284.0399964,BKSW
m7,293.8887706,BKSW
m8,295.6782376,BKSW
m4,299.7048478,BKSW
m5,301.1172184,BKSW
m1,303.9975846,BKSW
m3,304.8516535,BKSW
m2,304.9721797,BKSW
m0,309.6746128,BKSW
m9,175.2426884,MACW
m2,186.5808295,MACW
m8,186.9074481,MACW
m5,186.9776511,MACW
m7,188.4854682,MACW
m4,189.9724459,MACW
m0,198.3334089,MACW
m3,199.8468239,MACW
m1,202.9687678,MACW
m9,231.2043295,BEKI
m5,236.4533152,BEKI
m3,238.6203521,BEKI
m4,238.907195,BEKI
m1,241.2419335,BEKI
m8,250.3513502,BEKI
m7,250.6941878,BEKI
m0,254.0088476,BEKI
m4,194.4671055,EAKI
m2,195.1270731,EAKI
m5,196.4834662,EAKI
m7,197.0083772,EAKI
m0,197.1845841,EAKI
m9,197.7266159,EAKI
m8,198.9708674,EAKI
m1,199.6081448,EAKI
m3,201.5913202,EAKI
m4,174.8873711,MAWR
m9,175.2795721,MAWR
m5,176.8655417,MAWR
m1,182.2406762,MAWR
m3,183.960818,MAWR
m0,207.3555703,MAWR
m2,208.8521891,MAWR
m7,209.7695199,MAWR
m8,212.7762852,MAWR
m7,217.2554833,VGSW
m8,218.9757899,VGSW
m9,220.3549585,VGSW
m2,223.7750367,VGSW
m4,225.8398733,VGSW
m0,227.4397595,VGSW
m5,227.5233277,VGSW
m1,228.2725897,VGSW
m3,230.1066928,VGSW
m2,166.3185824,RECR
m0,167.3080577,RECR
m7,168.2310996,RECR
m8,168.7136944,RECR
m4,174.4603304,RECR
m1,174.7861142,RECR
m5,175.0363625,RECR
m3,175.4407546,RECR
m9,177.0406447,RECR
