species,BHC,mean,LCL,UCL
OVEN,RSH,0.108936703,0.06102045,0.19447915
OVEN,RYF,0.176499137,0.100737091,0.309240071
OVEN,RMF,0.269478,0.177918705,0.408154908
OVEN,FBS/FBT,0.028823053,0.003879066,0.214167118
OVEN,WGR,0.04767519,0.006375274,0.356521725
OVEN,WSH,8.90E-09,0,0
OVEN,WRI,0.066522827,0.02629507,0.16829339
OVEN,DSG/DSS,0.088106599,0.04500383,0.172491382
OVEN,CUL,0.155695486,0.080860185,0.299790121
OVEN,NVE,0.074047664,0.022435566,0.244391273
AMRO,CSH,0.822665563,0.395759703,1.710074634
AMRO,CYF,0.298861991,0.242990386,0.367580344
AMRO,CMF,0.307316523,0.250459172,0.377081201
AMRO,DSH,0.64576,0.432027478,0.96523022
AMRO,DYF,0.312563075,0.270884843,0.360653902
AMRO,DMF,0.321174195,0.244430945,0.422012293
AMRO,RSH,0.431937951,0.311816199,0.598334514
AMRO,RYF,0.471709999,0.32678442,0.680908603
AMRO,RMF,0.42598516,0.301765001,0.601339971
AMRO,FBS/FBT,0.245223247,0.111252169,0.540523761
AMRO,WGR,0.210880793,0.089286524,0.498067425
AMRO,WSH,0.393487497,0.211442167,0.732268367
AMRO,WRI,0.46490606,0.306724227,0.704664403
AMRO,DSG/DSS,0.302858978,0.213270223,0.430081421
AMRO,CUL,0.43863097,0.310735536,0.619166802
AMRO,NVE,0.373852268,0.210211538,0.664880339
YBSA,CSH,0.155214264,0.035350855,0.681496045
YBSA,CYF,0.201949827,0.158666071,0.257041295
YBSA,CMF,0.203917281,0.161046065,0.258201015
YBSA,DSH,0.21499211,0.113555933,0.407038242
YBSA,DYF,0.206102316,0.172006618,0.246956572
YBSA,DMF,0.245891098,0.181886908,0.332417723
YBSA,RSH,0.129509825,0.074042302,0.226529895
YBSA,RYF,0.157337308,0.089395502,0.276915817
YBSA,RMF,0.292907965,0.191854925,0.447187247
YBSA,FBS/FBT,0.130219782,0.045191737,0.375227702
YBSA,WGR,0.115426508,0.033928363,0.39268852
YBSA,WSH,0.186414035,0.07403593,0.469369299
YBSA,WRI,0.053857147,0.016716239,0.173519433
YBSA,DSG/DSS,0.092628559,0.050072369,0.171352987
