coef,coef(bestmod),species
p(tssr),-2.56937564411191,BAOR
coef,coef(bestmod),species
psi(Int),9.884054125701285,WIWA
p(Int),3.8092487797026613,WIWA
p(BHCDecid),-0.49125572291170094,WIWA
p(BHCRipforest),-0.9836009799728012,WIWA
p(BHCWetland),-1.220265501251258,WIWA
p(BHCDry slopes),-0.6535735602325853,WIWA
p(BHCCultiv),0.02887914121268503,WIWA
p(BHCNon-veg),-8.191842449162877,WIWA
p(xYear),1.4011172176238986,WIWA
p(day),-19.23349131061477,WIWA
p(tssr),1.956761660738875,WIWA
coef,coef(bestmod),species
psi(Int),-1.25125914894259,TRSW
p(Int),-0.6936208985488402,TRSW
p(BHCDecid),1.231678134388023,TRSW
p(BHCRipforest),-0.02788746406018288,TRSW
p(BHCWetland),4.623771526375937,TRSW
p(BHCDry slopes),3.041446841423675,TRSW
p(BHCCultiv),1.315712428238183,TRSW
p(BHCNon-veg),3.1602480433128393,TRSW
p(xYear),-1.1786708378678337,TRSW
p(day),-8.686572607943738,TRSW
p(tssr),9.226577376275582,TRSW
coef,coef(bestmod),species
psi(Int),-0.8414977369093226,BBMA
p(Int),-2.7523667620007273,BBMA
p(BHCDecid),0.007982247686274231,BBMA
p(BHCRipforest),1.8975824210893677,BBMA
p(BHCWetland),1.8102467094146002,BBMA
p(BHCDry slopes),1.5441687173096037,BBMA
p(BHCCultiv),1.4134373740253647,BBMA
p(BHCNon-veg),0.6313748681573467,BBMA
coef,coef(bestmod),species
psi(Int),-0.35557443473026057,ATTW
p(Int),-7.727070820582429,ATTW
p(BHCDecid),-1.3248684948207894,ATTW
p(BHCRipforest),-0.9051068673037823,ATTW
p(BHCWetland),-1.6220329236182942,ATTW
p(BHCDry slopes),-10.059012615040643,ATTW
p(BHCCultiv),-0.18549897941701637,ATTW
p(BHCNon-veg),-21.021174935296365,ATTW
p(day),12.009916398999048,ATTW
coef,coef(bestmod),species
psi(Int),-1.9874221557935345,FOSP
p(Int),4.660206300659922,FOSP
p(BHCDecid),-0.46898450537342956,FOSP
p(BHCRipforest),1.9351021566520934,FOSP
p(BHCWetland),0.7965402025778331,FOSP
p(BHCDry slopes),1.5945241620252237,FOSP
p(BHCCultiv),0.45803740773022195,FOSP
p(BHCNon-veg),6.290303496827304,FOSP
p(xYear),-0.6814722823886058,FOSP
p(day),-15.5453084626615,FOSP
p(tssr),3.1113654298104216,FOSP
coef,coef(bestmod),species
psi(Int),10.27240129279944,DOWO
p(Int),-0.287960008979495,DOWO
p(BHCDecid),0.7600759169491971,DOWO
p(BHCRipforest),-0.03418393693506541,DOWO
p(BHCWetland),-11.177452554174277,DOWO
p(BHCDry slopes),0.1772362267151521,DOWO
p(BHCCultiv),1.1286802451304314,DOWO
p(BHCNon-veg),-6.271118468316018,DOWO
p(day),-8.769504346605244,DOWO
coef,coef(bestmod),species
psi(Int),3.703957983557638,BOCH
p(Int),-6.942205300487858,BOCH
p(BHCDecid),-2.077776277512164,BOCH
p(BHCRipforest),-1.9494436916045255,BOCH
p(BHCWetland),-0.9086003724735382,BOCH
p(BHCDry slopes),-9.427314324431022,BOCH
p(BHCCultiv),-8.792758206150886,BOCH
p(BHCNon-veg),-7.973132766336741,BOCH
p(xYear),-0.5668966352656262,BOCH
p(day),8.438774114963467,BOCH
p(tssr),5.165325499374176,BOCH
coef,coef(bestmod),species
psi(Int),0.7968657616696446,WWCR
p(Int),-21.06840846078521,WWCR
p(BHCDecid),-1.6493243037330487,WWCR
p(BHCRipforest),-2.610202430938949,WWCR
p(BHCWetland),-2.0043031262191633,WWCR
p(BHCDry slopes),-9.482761364003528,WWCR
p(BHCCultiv),-11.018167359873875,WWCR
p(BHCNon-veg),-24.71086914325606,WWCR
p(day),38.72391915892341,WWCR
p(tssr),8.60819209797669,WWCR
coef,coef(bestmod),species
psi(Int),1.636173615001066,PIWO
p(Int),-3.0998323328368316,PIWO
p(BHCDecid),-0.21686279345401144,PIWO
p(BHCRipforest),0.18038375553952618,PIWO
p(BHCWetland),-0.6062745809958833,PIWO
p(BHCDry slopes),-8.547356549945581,PIWO
p(BHCCultiv),-0.3869577827846378,PIWO
p(BHCNon-veg),-5.717257284456148,PIWO
p(xYear),-0.5203482208685547,PIWO
p(day),-1.1141997989697894,PIWO
p(tssr),0.4216360401661477,PIWO
coef,coef(bestmod),species
psi(Int),-1.816908286656012,PSFL
p(Int),-20.67912938457289,PSFL
p(BHCDecid),0.48179964235358563,PSFL
p(BHCRipforest),-0.8365602345691054,PSFL
p(BHCWetland),-19.50180498953701,PSFL
p(BHCDry slopes),-1.8169396458922333,PSFL
p(BHCCultiv),-12.476071872102134,PSFL
p(BHCNon-veg),-20.172744026384585,PSFL
p(day),42.50212342744694,PSFL
p(tssr),-7.681257365295937,PSFL
coef,coef(bestmod),species
psi(Int),5.919886169805129,BLJA
p(Int),-3.701807872088738,BLJA
p(BHCDecid),-1.2271279216199134,BLJA
p(BHCRipforest),0.04719510451940717,BLJA
p(BHCWetland),0.8039112204273561,BLJA
p(BHCDry slopes),-11.185130674596337,BLJA
p(BHCCultiv),-8.642797147762316,BLJA
p(BHCNon-veg),-7.0314903761567,BLJA
p(tssr),4.353456533996727,BLJA
coef,coef(bestmod),species
psi(Int),-1.7330351920304228,OSFL
p(Int),-1.6333090832310273,OSFL
p(BHCDecid),-2.1291862464025146,OSFL
p(BHCRipforest),-0.5586353813219896,OSFL
p(BHCWetland),0.23877951455614663,OSFL
p(BHCDry slopes),-0.45714235219435595,OSFL
p(BHCCultiv),0.4609554318125202,OSFL
p(BHCNon-veg),-11.808704864633073,OSFL
coef,coef(bestmod),species
psi(Int),-1.6536433246197888,EVGR
p(Int),3.1736269222111293,EVGR
p(BHCDecid),-0.4082410743003103,EVGR
p(BHCRipforest),0.3730149077457471,EVGR
p(BHCWetland),-10.765671036200638,EVGR
p(BHCDry slopes),-10.270027856268207,EVGR
p(BHCCultiv),-10.325171140760585,EVGR
p(BHCNon-veg),0.6652258008128875,EVGR
p(xYear),-1.1928229621646733,EVGR
p(day),-13.209480304927096,EVGR
p(tssr),6.353830433421575,EVGR
coef,coef(bestmod),species
psi(Int),-2.476623648090106,BRBL
p(Int),-10.198816379667544,BRBL
p(BHCDecid),9.47408802282361,BRBL
p(BHCRipforest),8.818654934910311,BRBL
p(BHCWetland),-0.07165138878991349,BRBL
p(BHCDry slopes),8.222474667139183,BRBL
p(BHCCultiv),11.74797713603578,BRBL
p(BHCNon-veg),-0.7282898511951934,BRBL
coef,coef(bestmod),species
psi(Int),9.336951591059636,COWA
p(Int),-4.241789158991095,COWA
p(BHCDecid),0.6181088973571773,COWA
p(BHCRipforest),-22.420706642733894,COWA
p(BHCWetland),2.018620092208465,COWA
p(BHCDry slopes),-10.179335940323238,COWA
p(BHCCultiv),-8.173784101024971,COWA
p(BHCNon-veg),-6.919103499069503,COWA
p(tssr),-14.717810763898488,COWA
coef,coef(bestmod),species
psi(Int),5.708719614717193,BKPW
p(Int),14.76470040964446,BKPW
p(BHCDecid),-0.2918818410463278,BKPW
p(BHCRipforest),1.4371878731572651,BKPW
p(BHCWetland),-10.431975509861639,BKPW
p(BHCDry slopes),-8.782712423557962,BKPW
p(BHCCultiv),-7.914786607754179,BKPW
p(BHCNon-veg),-6.33777491520457,BKPW
p(xYear),-0.9964278990775983,BKPW
p(day),-48.41295841325288,BKPW
p(tssr),5.819571068758261,BKPW
coef,coef(bestmod),species
psi(Int),-2.8309008766523585,WIWR
p(Int),0.7339830539798066,WIWR
p(BHCDecid),-2.4887077510004834,WIWR
p(BHCRipforest),-21.66253756934082,WIWR
p(BHCWetland),-9.520251648088193,WIWR
p(BHCDry slopes),-10.111359516601562,WIWR
p(BHCCultiv),-10.944874089530954,WIWR
p(BHCNon-veg),-9.974677692947353,WIWR
p(tssr),-16.998049841395442,WIWR
coef,coef(bestmod),species
psi(Int),6.473038030211587,CMWA
p(Int),4.778906174554846,CMWA
p(BHCDecid),-1.2309412126851194,CMWA
p(BHCRipforest),0.8286777362762915,CMWA
p(BHCWetland),-14.546575975265249,CMWA
p(BHCDry slopes),-0.018806810089778667,CMWA
p(BHCCultiv),-9.317609918954878,CMWA
p(BHCNon-veg),-8.72820673576548,CMWA
p(xYear),0.933306891532099,CMWA
p(day),-24.46535376020369,CMWA
p(tssr),2.342520898163364,CMWA
coef,coef(bestmod),species
psi(Int),7.103870675222139,PHVI
p(Int),-5.953511217643523,PHVI
p(BHCDecid),0.5075363295829594,PHVI
p(BHCRipforest),1.0380295029915088,PHVI
p(BHCWetland),1.2628656905394773,PHVI
p(BHCDry slopes),-8.336949617921617,PHVI
p(BHCCultiv),-9.965459884030397,PHVI
p(BHCNon-veg),-9.0601952582166,PHVI
coef,coef(bestmod),species
psi(Int),4.990359505397353,WBNU
p(Int),-0.04543140135689988,WBNU
p(BHCDecid),0.5634023988241076,WBNU
