Species,effect,group,term,estimate,std.error,statistic,p.value
SWSP,fixed,NA,BHCDry slopes,-17.30624263,11034.05864,-0.001568439,0.998748568
SWSP,fixed,NA,BHCCultiv,-16.14766773,7603.363915,-0.002123753,0.998305491
SWSP,fixed,NA,BHCNon-veg,1.025403968,2.343261956,0.437596815,0.661678581
SWSP,ran_pars,Station,sd__(Intercept),5.951735829,NA,NA,NA
GRJA,fixed,NA,(Intercept),-6.752599124,0.575149594,-11.74059617,7.89E-32
GRJA,fixed,NA,BHCDecid,-1.173550957,0.444355393,-2.641018823,0.008265713
GRJA,fixed,NA,BHCRipForest,-0.764987884,0.651967117,-1.173353478,0.240654085
GRJA,fixed,NA,BHCWetland,-1.488368759,1.242337919,-1.198038581,0.230901997
GRJA,fixed,NA,BHCDry slopes,-21.14598188,23823.78109,-8.88E-04,0.999291798
GRJA,fixed,NA,BHCCultiv,-17.29433535,4270.592252,-0.004049634,0.996768868
GRJA,fixed,NA,BHCNon-veg,-0.889760406,1.888678369,-0.471102132,0.637567803
GRJA,ran_pars,Station,sd__(Intercept),4.533856114,NA,NA,NA
