nrow,nlevels,successes,trials,mean,lower,upper
614,3,13,50,0.26,0.14630058439655447,0.40344767872806564
866,4,25,50,0.5,0.3552729971299078,0.6447270028700922
1090,5,36,50,0.72,0.5750946429838913,0.8376893992928247
1228,6,43,50,0.86,0.7326039975029915,0.9418082996596279
1704,8,50,50,1,0.9288782635358024,1
2094,10,50,50,1,0.9288782635358024,1
