OBJECTID_12_13,FID_Footprint_20200701,OBJECTID,PAZ,Shape_Leng,Area_ha,FID_CEM_Oct10_13,OBJECTID_1,OBJECTID_12,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,FCODE,JOIN_ID,MAPSH_NBR,POLY_NBR,SOURCE,MAP_SRC,ECO_SEC,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,SDEC_1,SITE_S1,SITEMC_S1,SITE_M1A,SITE_M1B,STRCT_S1,STRCT_M1,SERAL_1,SDEC_2,SITE_S2,SITEMC_S2,SITE_M2A,SITE_M2B,STRCT_S2,STRCT_M2,SERAL_2,SDEC_3,SITE_S3,SITEMC_S3,SITE_M3A,SITE_M3B,STRCT_S3,STRCT_M3,SERAL_3,AREA,PERIMETER,HECTARES,Shape_Leng_1,SDEC1_Area,SDEC2_Area,SDEC3_Area,HabType_1,HabType_2,HabType_3,PUMP_Strat,MCECA_W,MALAM_W,MODHE_W,MODVI_W,FOREST_TYP,FOREST_T_1,FOREST_T_2,AGE_TYPE1,AGE_TYPE2,AGE_TYPE3,Dens_SAV,MAPE_CT_De,Shape_Le_1,Tot_Dens_S,Tot_Densit,Resting,Vert_Div,Shape_Le_2,Wetland,Grassland,Area_ha_1,Shape_Length,Shape_Area
1389,3,4,Quarry,38952.221953499996744,614.460494077000021,70017,70019,0,0,0.000000000000000,0.000000000000000,160018,093O100_125, , ,093O100,125,P,TEM,PEL,BWBS,mw,1, ,10,1,AM, , ,3, ,ap,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,3120.493795809999938,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,3120.493742959999963,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3120.493797480000012,No,No,34.544946188899999,3092.915393044402663,142839.889768609456951
1390,3,4,Quarry,38952.221953499996744,614.460494077000021,70022,70024,0,0,0.000000000000000,0.000000000000000,160023,093O100_137, , ,093O100,137,P,TEM,PEL,BWBS,mw,1, ,10,1,AM,g,y,5, ,ap,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1316.664704560000018,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1316.664695460000075,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1316.664703930000087,No,No,4.945474378140000,231.962649619895245,2076.470602479251738
1391,3,4,Quarry,38952.221953499996744,614.460494077000021,70023,70025,0,0,0.000000000000000,0.000000000000000,160024,093O100_138, , ,093O100,138,P,TEM,PEL,BWBS,mw,1, ,10,1,AM,k, ,5, ,ap,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1500.016228779999892,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1500.016343519999964,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1500.016232409999930,No,No,4.671854103160000,124.667677040831236,574.348760620496478
1392,3,4,Quarry,38952.221953499996744,614.460494077000021,70024,70026,0,0,0.000000000000000,0.000000000000000,160025,093O100_139, , ,093O100,139,P,TEM,PEL,BWBS,mw,1, ,8,3,SW,r,s,5, , ,2,02,LL,r,s,5, , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1354.440269100000023,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1354.440300069999921,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1354.440267050000102,No,No,7.474839922980000,1141.366328739615710,25448.146266693991493
1393,3,4,Quarry,38952.221953499996744,614.460494077000021,70026,70028,0,0,0.000000000000000,0.000000000000000,160027,093O100_141, , ,093O100,141,P,TEM,PEL,BWBS,mw,1, ,10,3,SW,k,s,5, ,as,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1486.753954479999948,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1486.754068270000062,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1486.753955420000011,No,No,6.387861453840000,368.495648850565487,5313.005587837595158
1394,3,4,Quarry,38952.221953499996744,614.460494077000021,70030,70032,0,0,0.000000000000000,0.000000000000000,160031,093O100_146, , ,093O100,146,P,TEM,PEF,BWBS,wk,1, ,10,4,SW,g,k,5, , ,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1629.921065920000046,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1629.921167599999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1629.921175299999959,No,No,4.845738882040000,473.505475599648832,9822.734337016576319
1395,3,4,Quarry,38952.221953499996744,614.460494077000021,70038,70040,0,0,0.000000000000000,0.000000000000000,160039,093O100_167, , ,093O100,167,P,TEM,PEL,BWBS,mw,1, ,8,1,AM,c, ,6, , ,2,01,AM,c, ,4, ,ap,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1787.372745540000096,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1787.372700310000027,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1787.372730159999946,No,No,8.094679685350000,207.346782841755271,2266.510434673662985
1396,3,4,Quarry,38952.221953499996744,614.460494077000021,70039,70041,0,0,0.000000000000000,0.000000000000000,160040,093O100_173, , ,093O100,173,P,TEM,PEL,BWBS,mw,1, ,10,3,SW,g,s,5, , ,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,673.627445907000038,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,673.627529080000045,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,673.627563257000020,No,No,1.928259369300000,966.073946209746282,16484.692704060078540
1397,3,4,Quarry,38952.221953499996744,614.460494077000021,70045,70047,0,0,0.000000000000000,0.000000000000000,160046,093O100_180, , ,093O100,180,P,TEM,PEL,BWBS,mw,1, ,10,3,SW,g,k,5, , ,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,784.123351880999962,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,784.123332915999981,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,784.123276195000017,No,No,2.674882269000000,903.677572360239878,25824.746600143054820
1398,3,4,Quarry,38952.221953499996744,614.460494077000021,70046,70048,0,0,0.000000000000000,0.000000000000000,160047,093O100_196, , ,093O100,196,P,TEM,PEF,BWBS,wk,1, ,9,4,SW, , ,5, , ,1,00,RO,w, ,1, , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1261.177845680000019,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1261.177956340000037,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1261.177796790000002,No,No,4.170056426790000,1261.177870974991038,41700.568510653509293
