FID,Shape *,OBJECTID_1,OBJECTID,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,SOURCE,MAP_SRC,ECO_SEC,BECUNIT,SDEC_1,DEC1,SDEC_2,DEC2,SDEC_3,DEC3,BHC20_1,BHC20_2,BHC20_3,BHC33_1,BHC33_2,BHC33_3,SDEC1_AREA,SDEC2_AREA,SDEC3_AREA,Area_m
3852,Polygon,66398,1831,0,0,0,81793,094A025_3616,V,TEM,PEL,BWBSmw1,10,SW3,0, ,0, ,CSH, , ,CSH-Sw, , ,50251.84812,0,0,50251.87272
3853,Polygon,66399,1832,0,0,0,81794,094A025_3612,V,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,34396.57266,0,0,34396.5608
3854,Polygon,66402,1835,0,0,0,81797,094A025_3466,P,TEM,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,75888.35134,0,0,3406.020665
3855,Polygon,66404,1838,0,0,0,81800,094A016_3383,V,TEM,PEL,BWBSmw1,6,AM:ap4,2,WW2b,2,CB1,DYF,DSG,NVE,DYF-At,DSG,NVE,45447.34496,15149.11499,15149.11499,75745.55481
3856,Polygon,66411,1846,0,0,0,81808,094A025_3584,E,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,327900.7128,0,0,67663.96589
3857,Polygon,66412,1847,0,0,0,81809,094A025_4870,G,TEM,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,237945.51,0,0,237945.5546
3858,Polygon,66413,1849,0,0,0,81811,094A026_3643,V,TEM,PEL,BWBSmw1,10,WW2,0, ,0, ,DSG, , ,DSG, , ,61922.58553,0,0,61922.50662
3859,Polygon,66414,1850,0,0,0,81812,094A025_3777,G,TEM,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,17598.7094,0,0,17598.69143
3860,Polygon,66416,1857,0,0,0,81819,094A026_3675,P,TEM,PEL,BWBSmw1,10,AS3b,0, ,0, ,DSS, , ,DSS, , ,16827.27622,0,0,14978.05433
3861,Polygon,66417,1858,0,0,0,81820,094A025_4883,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,41061.64485,0,0,32676.94898
3862,Polygon,66422,1867,0,0,0,81826,094A025_3766,P,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,43856.8892,0,0,770.443829
3863,Polygon,66423,1869,0,0,0,81828,094A025_3714,V,TEM,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,93279.48182,0,0,93279.49421
3864,Polygon,66424,1871,0,0,0,81830,094A025_4876,G,TEM,PEL,BWBSmw1,10,BL:al5,0, ,0, ,DYF, , ,DYF-At, , ,195621.7198,0,0,195621.6967
3865,Polygon,66425,1872,0,0,0,81831,094A025_3773,G,TEM,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,142807.9157,0,0,142807.8777
3866,Polygon,66426,1873,0,0,0,81832,094A026_4907,G,TEM,PEL,BWBSmw1,8,AM:ap5,2,CF2,0, ,DYF,CUL, ,DYF-At,CUL, ,234703.9811,58675.99527,0,18301.62574
3867,Polygon,66427,1874,0,0,0,81833,094A026_3683,V,TEM,PEL,BWBSmw1,10,CF2,0, ,0, ,CUL, , ,CUL, , ,6262.00582,0,0,6238.740749
3868,Polygon,66429,1876,0,0,0,81835,094A026_3572,P,TEM,PEL,BWBSmw1,7,WW2,3,AS3,0, ,DSG,DSS, ,DSG,DSS, ,135576.4949,58104.21208,0,165.903297
3869,Polygon,66431,1881,0,0,0,81840,094A026_3480,G,TEM,PEL,BWBSmw1,8,AM6,2,AM:5,0, ,CMF, , ,CMF-Sw, , ,331544.6784,82886.16959,0,414430.8724
