FID,Shape *,OBJECTID_1,OBJECTID,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,SOURCE,MAP_SRC,ECO_SEC,BECUNIT,SDEC_1,DEC1,SDEC_2,DEC2,SDEC_3,DEC3,BHC20_1,BHC20_2,BHC20_3,BHC33_1,BHC33_2,BHC33_3,SDEC1_AREA,SDEC2_AREA,SDEC3_AREA,Area_m
0,Polygon,1245,4332,0,0,0,4332, ,PEM,PEM,PEL,BWBSmw1,10,SC:ab5,0, ,0, ,DYF, , ,DYF-At, , ,511.66842,0,0,85161.50971
1,Polygon,1611,2926,0,0,0,2926, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,14736.71557,0,0,41.533425
2,Polygon,1617,2932,0,0,0,2932, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,385.49276,0,0,4683.388176
3,Polygon,1618,2933,0,0,0,2933, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,28229.71712,0,0,37041.51236
4,Polygon,1621,2936,0,0,0,2936, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,86.52615,0,0,175841.2511
5,Polygon,2376,17797,55159,0,7381638,17797, , ,VRI,PEL,BWBSmw1,10,BT3,0, ,0, ,FBS, , ,FBS-Sb, , ,87157.63354,0,0,171.211017
6,Polygon,2871,4847,0,0,0,4847, ,PEM,PEM,PEL,BWBSmw1,10,SH7,0, ,0, ,CMF, , ,CMF-Sw, , ,7753.68148,0,0,704687.2297
7,Polygon,324,1243,0,0,0,1243, ,PEM,PEM,PEL,BWBSmw1,10,RZ,0, ,0, ,ANT, , ,ANT, , ,1584.86895,0,0,22491.69965
8,Polygon,326,1245,0,0,0,1245, ,PEM,PEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,212.46345,0,0,319816.7948
9,Polygon,332,1251,0,0,0,1251, ,PEM,PEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,691.32354,0,0,66675.9839
10,Polygon,343,1268,0,0,0,1268, ,PEM,PEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,358.39496,0,0,26683.51742
11,Polygon,3505,11772,692,641,0,11772,94A1_229,G,TEM,PEL,BWBSmw1,10,SW5,0, ,0, ,CYF, , ,CYF-Sw, , ,6468.72846,0,0,40.814119
12,Polygon,3509,11789,619,663,0,11789,94A1_218,P,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,1882.11448,0,0,416.195328
13,Polygon,3521,11828,6123,677,0,11828,94A1_28,V,TEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,139974.44,0,0,387.91995
14,Polygon,3522,11834,6129,683,0,11834,94A1_212,P,TEM,PEL,BWBSmw1,5,AM:ap4,5,SC:4,0, ,DYF, , ,DYF-At, , ,997.8729,997.8729,0,2.308531
15,Polygon,3443,8753,373,5753,0,8753,94A1_4814,P,TEM,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,17215.667,0,0,166.400474
16,Polygon,3477,11528,5828,5773,0,11528,94A1_339,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,63446.33958,0,0,697.332346
17,Polygon,3478,11569,5874,5819,0,11569,94A1_323,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,72.988,0,0,496.714406
18,Polygon,3479,11572,5877,5822,0,11572,94A1_4812,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,82412.12685,0,0,390.55028
19,Polygon,3487,11675,5985,5936,0,11675,94A1_235,G,TEM,PEL,BWBSmw1,10,SW5,0, ,0, ,CYF, , ,CYF-Sw, , ,1157351.624,0,0,1051.434489
20,Polygon,3491,11692,67,5958,0,11692,94A1_252,V,TEM,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,24652.77199,0,0,1910.580487
21,Polygon,3498,11714,629,667,0,11714,94A1_217,P,TEM,PEL,BWBSmw1,5,GB1,5,RI,0, ,NVE,WAT, ,NVE,WAT, ,18347.98663,18347.98663,0,1.581507
22,Polygon,3535,10434,5854,5799,0,10434,94A1_11,G,TEM,PEL,BWBSmw1,10,SH:ac5,0, ,0, ,DYF, , ,DYF-Ac, , ,895195.9885,0,0,2044.108447
23,Polygon,3543,11001,531,5239,0,11001,94A1_329,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,538.44468,0,0,524.040769
24,Polygon,3544,11002,532,524,0,11002,94A1_337,P,TEM,PEL,BWBSmw1,10,WW2,0, ,0, ,DSG, , ,DSG, , ,12127.86981,0,0,33.693936
25,Polygon,3549,11315,5615,649,0,11315,94A1_21,V,TEM,PEL,BWBSmw1,6,AM6,4,BL5,0, ,CMF,CYF, ,CMF-Sw,CYF-Sb, ,9296.31762,6197.54508,0,282.451621
26,Polygon,3551,11322,5622,6122,0,11322,94A1_189,P,TEM,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,16729.99562,0,0,1255.805997
27,Polygon,3552,11421,5721,5659,0,11421,94A1_388,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,42659.93325,0,0,382.18362
28,Polygon,3553,11439,5739,5677,0,11439,94A1_4815,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,278132.3753,0,0,366.861135
29,Polygon,3554,11440,574,5678,0,11440,94A1_379,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,158547.3853,0,0,628.961044
30,Polygon,3555,11461,5761,5699,0,11461,94A1_376,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,5185.99253,0,0,216.471215
31,Polygon,3556,11475,5775,5713,0,11475,94A1_362,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,157961.1698,0,0,829.893796
32,Polygon,3557,11481,5781,5719,0,11481,94A1_369,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,7714.47165,0,0,551.801514
33,Polygon,3563,11899,6194,6154,0,11899,94A1_145,P,TEM,PEL,BWBSmw1,8,AM:ap4,2,AM:5,0, ,DYF, , ,DYF-At, , ,230798.5399,57699.63498,0,915.449907
34,Polygon,3565,11963,6263,6223,0,11963,94A1_119,G,TEM,PEL,BWBSmw1,8,AM6,2,BT6,0, ,CMF,FBT, ,CMF-Sw,FBT-Sb, ,694915.6594,173728.9149,0,2188.078702
35,Polygon,3579,12077,6382,6348,0,12077,93P91_93,P,TEM,PEL,BWBSmw1,10,SW5,0, ,0, ,CYF, , ,CYF-Sw, , ,291129.5832,0,0,1575.375106
36,Polygon,3588,12114,6419,6392,0,12114,93P91_64,G,TEM,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,93334.4874,0,0,2881.232363
37,Polygon,3589,12115,642,6393,0,12115,93P91_78,P,TEM,PEL,BWBSmw1,10,SW3,0, ,0, ,CSH, , ,CSH-Sw, , ,219898.9338,0,0,478.913655
38,Polygon,3597,12187,6492,6478,0,12187,93P91_54,V,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,152351.7185,0,0,270.131211
39,Polygon,3602,12210,652,656,0,12210,93P91_31,P,TEM,PEL,BWBSmw1,10,SW5,0, ,0, ,CYF, , ,CYF-Sw, , ,72371.32318,0,0,741.262631
40,Polygon,3606,12224,6534,652,0,12224,93P91_37,P,TEM,PEL,BWBSmw1,5,UR,3,CF2,2,SW4,ANT,CUL,CYF,ANT,CUL,CYF-Sw,31263.87132,18758.32279,12505.54853,15.037795
41,Polygon,3610,12259,6569,6549,0,12259,93P91_13,P,TEM,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,171514.3116,0,0,14.940345
42,Polygon,3613,12269,6579,6559,0,12269,93P91_22,P,TEM,PEL,BWBSmw1,10,RE,0, ,0, ,WAT, , ,WAT, , ,8161.45354,0,0,25.404037
43,Polygon,3617,12296,666,6586,0,12296,93P91_12,P,TEM,PEL,BWBSmw1,10,AM4,0, ,0, ,CYF, , ,CYF-Sw, , ,5939.21663,0,0,10.047705
44,Polygon,3618,12297,667,6587,0,12297,93P91_9,P,TEM,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,23872.5628,0,0,1.845515
45,Polygon,6657,19699,4754,0,7381441,19699, , ,VRI,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,15.36716,0,0,150.370687
46,Polygon,6658,19706,4754,0,7381441,19706, , ,VRI,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,17.63473,0,0,17.633752
47,Polygon,4787,16521,5566,0,7378541,16521, , ,VRI,PEL,BWBSmw1,10,SC:ab5,0, ,0, ,DYF, , ,DYF-At, , ,1286613.84,0,0,289153.8332
48,Polygon,5006,15598,56236,0,7355418,15598, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,519677.5885,0,0,3383.31966
49,Polygon,5008,16163,56129,0,7355271,16163, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,729136.5798,0,0,37072.88909
50,Polygon,5013,16650,5642,0,7355175,16650, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,236489.1951,0,0,207352.2411
51,Polygon,5016,16654,5648,0,735543,16654, , ,VRI,PEL,BWBSmw1,10,WS3,0, ,0, ,WSH, , ,WSH, , ,182947.7347,0,0,182947.7243
52,Polygon,5026,16949,55616,0,7378467,16949, , ,VRI,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,67792.2452,0,0,317555.9327
53,Polygon,5238,15582,5613,0,735524,15582, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,165.89782,0,0,1605.900661
54,Polygon,5247,15617,56122,0,7355382,15617, , ,VRI,PEL,BWBSmw1,10,ES1,0, ,0, ,NVE, , ,NVE, , ,53251.45436,0,0,5764.58177
55,Polygon,5248,15618,56241,0,7378321,15618, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,254843.5851,0,0,9768.638919
56,Polygon,5250,15625,56123,0,737875,15625, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,487.31676,0,0,20317.60689
57,Polygon,5267,15659,56128,0,7378323,15659, , ,VRI,PEL,BWBSmw1,10,CB1,0, ,0, ,NVE, , ,NVE, , ,355.31729,0,0,3550.316219
58,Polygon,5282,15694,56125,0,735589,15694, , ,VRI,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,47355.52385,0,0,37845.45647
59,Polygon,5284,15697,56127,0,7378569,15697, , ,VRI,PEL,BWBSmw1,10,CB1,0, ,0, ,NVE, , ,NVE, , ,222.55919,0,0,20022.57558
60,Polygon,5294,15733,56131,0,7354951,15733, , ,VRI,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,4757.34217,0,0,4757.352537
61,Polygon,5314,15802,56121,0,7355521,15802, , ,VRI,PEL,BWBSmw1,10,SW:as3,0, ,0, ,DSH, , ,DSH-At, , ,6194.18518,0,0,50069.4654
62,Polygon,5371,16006,5585,0,737873,16006, , ,VRI,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,56483.67572,0,0,11.960599
63,Polygon,5377,16015,55791,0,7378875,16015, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,12832.656,0,0,103817.434
64,Polygon,5381,16024,56126,0,7354974,16024, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,84322.3521,0,0,22453.6333
65,Polygon,5384,16034,56132,0,7378572,16034, , ,VRI,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,141175.382,0,0,141175.3645
66,Polygon,5390,16049,55792,0,7378949,16049, , ,VRI,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,13275.19248,0,0,21827.84256
67,Polygon,5392,16052,5584,0,7378672,16052, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,811.57767,0,0,7856.36882
68,Polygon,5409,16117,5582,0,737895,16117, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,21525.94915,0,0,21525.89928
69,Polygon,5410,16118,5625,0,7355612,16118, , ,VRI,PEL,BWBSmw1,10,RI,0, ,0, ,WAT, , ,WAT, , ,739453.6356,0,0,766856.1947
70,Polygon,5412,16123,56124,0,7354998,16123, , ,VRI,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,728752.6625,0,0,3977.305478
71,Polygon,5419,16145,56143,0,737919,16145, , ,VRI,PEL,BWBSmw1,10,SC:ab4,0, ,0, ,DYF, , ,DYF-At, , ,2356.17842,0,0,2356.104826
72,Polygon,5423,16156,56134,0,7355344,16156, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,229788.1839,0,0,229788.1412
73,Polygon,5425,16174,56139,0,7355552,16174, , ,VRI,PEL,BWBSmw1,10,UR,0, ,0, ,ANT, , ,ANT, , ,31331.85868,0,0,31331.86501
74,Polygon,5440,16225,56133,0,7378442,16225, , ,VRI,PEL,BWBSmw1,10,RI,0, ,0, ,WAT, , ,WAT, , ,296223.6517,0,0,296223.5006
75,Polygon,5442,16239,56141,0,7378643,16239, , ,VRI,PEL,BWBSmw1,10,SC:ab4,0, ,0, ,DYF, , ,DYF-At, , ,112744.9839,0,0,112745.0055
76,Polygon,5444,16247,55577,0,7378664,16247, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,78113.46792,0,0,75410.6827
77,Polygon,5462,16282,5568,0,737882,16282, , ,VRI,PEL,BWBSmw1,10,SC5,0, ,0, ,CYF, , ,CYF-Sw, , ,8928.25158,0,0,11479.42273
78,Polygon,5472,16314,56142,0,7378673,16314, , ,VRI,PEL,BWBSmw1,10,CF3,0, ,0, ,CUL, , ,CUL, , ,5766.25184,0,0,57660.13596
79,Polygon,5477,16323,55742,0,737849,16323, , ,VRI,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,15254.27658,0,0,15254.19343
80,Polygon,5483,16345,55569,0,7378445,16345, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,619.97187,0,0,619.982503
81,Polygon,5488,16352,5553,0,7378991,16352, , ,VRI,PEL,BWBSmw1,10,CF3,0, ,0, ,CUL, , ,CUL, , ,48254.8247,0,0,48254.04882
82,Polygon,5492,16358,55569,0,7378445,16358, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,283.63416,0,0,283.628553
83,Polygon,5499,16379,5614,0,7355413,16379, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,4699.913,0,0,319015.4447
84,Polygon,5502,16397,56137,0,7355498,16397, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,224289.7333,0,0,224289.7251
85,Polygon,5505,16404,5653,0,7355151,16404, , ,VRI,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,868.23819,0,0,8608.230668
86,Polygon,5510,16424,55569,0,7378445,16424, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,249.99797,0,0,249.895173
87,Polygon,5518,16470,55575,0,7378459,16470, , ,VRI,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,42145.7335,0,0,42145.70622
88,Polygon,5530,16496,5567,0,7378953,16496, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,127895.5627,0,0,127895.4604
89,Polygon,5535,16505,55576,0,7378878,16505, , ,VRI,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,5649.9288,0,0,56049.10229
90,Polygon,5539,16533,55574,0,7378714,16533, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,2388.6117,0,0,20388.51046
91,Polygon,5552,16560,5565,0,7378985,16560, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,678174.2761,0,0,442299.3937
92,Polygon,5574,16639,55637,0,7378378,16639, , ,VRI,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,41828.88482,0,0,41828.61177
93,Polygon,5579,16669,55611,0,7378975,16669, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,94859.6215,0,0,94859.53397
94,Polygon,5609,19016,5536,0,7381264,19016, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,1891338.752,0,0,434747.5445
95,Polygon,5626,16735,55614,0,7378615,16735, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,14549.74218,0,0,104549.5253
96,Polygon,5634,16760,5639,0,7355322,16760, , ,VRI,PEL,BWBSmw1,10,SW5,0, ,0, ,CYF, , ,CYF-Sw, , ,39117.14948,0,0,59209.98089
97,Polygon,5644,16786,5562,0,737981,16786, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,13355.14882,0,0,110318.212
98,Polygon,5673,16873,5644,0,7355375,16873, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,423833.8987,0,0,423833.6224
99,Polygon,5716,17009,55613,0,73797,17009, , ,VRI,PEL,BWBSmw1,10,SC:ab3,0, ,0, ,DSH, , ,DSH-At, , ,1487.93114,0,0,1487.033192
100,Polygon,5729,17041,55611,0,7378975,17041, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,333678.8631,0,0,333678.8728
101,Polygon,5746,17086,55613,0,73797,17086, , ,VRI,PEL,BWBSmw1,10,SC:ab3,0, ,0, ,DSH, , ,DSH-At, , ,1116.97435,0,0,1116.950608
102,Polygon,5757,17110,55612,0,7378956,17110, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,19626.24174,0,0,109625.9969
103,Polygon,5765,17128,55585,0,7378311,17128, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,5272.991,0,0,21345.45657
104,Polygon,5767,17134,5649,0,73552,17134, , ,VRI,PEL,BWBSmw1,10,SW:as3,0, ,0, ,DSH, , ,DSH-At, , ,5939.7689,0,0,59309.08308
105,Polygon,5768,17135,5654,0,7386824,17135, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,9355.41616,0,0,9355.434644
106,Polygon,5769,17141,55583,0,7378456,17141, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,274148.6272,0,0,67272.33493
107,Polygon,5785,17182,55624,0,7378823,17182, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,66722.69543,0,0,66722.0614
108,Polygon,5788,17185,5643,0,7355481,17185, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,145854.8756,0,0,105513.2237
109,Polygon,5789,17188,55623,0,7378388,17188, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,35636.24388,0,0,350924.4587
110,Polygon,5791,17191,5646,0,7354938,17191, , ,VRI,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,41761.68355,0,0,11827.35464
111,Polygon,5792,17192,55621,0,7378494,17192, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,12753.3151,0,0,102753.3655
112,Polygon,5793,17196,55617,0,73799,17196, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,161964.9548,0,0,161964.4865
113,Polygon,5795,17202,5652,0,7355463,17202, , ,VRI,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,6596.35654,0,0,65906.36623
114,Polygon,5804,17219,5547,0,737945,17219, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,57164.942,0,0,57163.89781
115,Polygon,5818,17242,5548,0,7378893,17242, , ,VRI,PEL,BWBSmw1,10,SC5,0, ,0, ,CYF, , ,CYF-Sw, , ,13355.52382,0,0,13355.33489
116,Polygon,5819,17243,5637,0,7355221,17243, , ,VRI,PEL,BWBSmw1,10,SW:as6,0, ,0, ,DMF, , ,DMF-At, , ,1256641.195,0,0,248534.318
117,Polygon,5823,17249,55584,0,7378348,17249, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,6145.52316,0,0,60145.52079
118,Polygon,5833,17271,565,0,7355353,17271, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,126341.2131,0,0,100385.0864
119,Polygon,5834,17275,5558,0,737853,17275, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,17819.55152,0,0,178190.5655
120,Polygon,5840,17286,55533,0,7386667,17286, , ,VRI,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,38823.86757,0,0,38823.8827
121,Polygon,5848,17307,47518,0,7386926,17307, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,7542.37539,0,0,737.527267
122,Polygon,5850,17309,47517,0,7386914,17309, , ,VRI,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,9458.41132,0,0,54025.60301
123,Polygon,5852,17311,564,0,7386672,17311, , ,VRI,PEL,BWBSmw1,10,UR,0, ,0, ,ANT, , ,ANT, , ,17472.8165,0,0,33587.88607
124,Polygon,5854,17313,5647,0,7386569,17313, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,71371.6443,0,0,10872.84907
125,Polygon,5856,17319,55532,0,7381272,17319, , ,VRI,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,41585.29279,0,0,40035.75803
126,Polygon,5864,17333,55479,0,7381395,17333, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,4743.41949,0,0,47403.38625
127,Polygon,5873,17357,55591,0,738166,17357, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,19684.98228,0,0,19684.97559
128,Polygon,5879,17374,55588,0,73791,17374, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,318352.1328,0,0,188417.076
129,Polygon,5883,17379,55595,0,7378671,17379, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,51743.91673,0,0,51743.93965
130,Polygon,5889,17388,55579,0,7381444,17388, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,1863.5999,0,0,100863.4786
131,Polygon,5890,17391,55589,0,7381423,17391, , ,VRI,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,172643.967,0,0,172643.0335
132,Polygon,5892,17396,55598,0,7381339,17396, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,66472.3623,0,0,66472.03258
133,Polygon,5894,17399,55599,0,738127,17399, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,8547.37227,0,0,81664.68558
134,Polygon,5896,17404,5561,0,7378717,17404, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,33419.2513,0,0,9812.995795
135,Polygon,5928,17461,55592,0,7381275,17461, , ,VRI,PEL,BWBSmw1,10,AM5,0, ,0, ,CYF, , ,CYF-Sw, , ,21637.21118,0,0,21637.25201
136,Polygon,5938,17483,55455,0,7381446,17483, , ,VRI,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,88899.96435,0,0,56416.05468
137,Polygon,5940,17485,5546,0,7381252,17485, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,25746.58956,0,0,25746.60236
138,Polygon,5957,17519,55578,0,7381366,17519, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,14961.575,0,0,104961.4261
139,Polygon,5973,17564,55354,0,7381389,17564, , ,VRI,PEL,BWBSmw1,10,SC6,0, ,0, ,CMF, , ,CMF-Sw, , ,144695.1878,0,0,13600.08513
140,Polygon,6026,17675,5547,0,7381168,17675, , ,VRI,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,88559.22867,0,0,59507.74342
141,Polygon,6060,17733,55416,0,738114,17733, , ,VRI,PEL,BWBSmw1,10,AM6,0, ,0, ,CMF, , ,CMF-Sw, , ,55788.53771,0,0,55788.39592
142,Polygon,6069,17928,55357,0,7381192,17928, , ,VRI,PEL,BWBSmw1,10,SW5,0, ,0, ,CYF, , ,CYF-Sw, , ,226818.8343,0,0,55205.40181
143,Polygon,6075,17941,55399,0,738126,17941, , ,VRI,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,38597.94632,0,0,380597.9416
144,Polygon,6085,17978,55459,0,7381464,17978, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,247895.3897,0,0,228874.5219
145,Polygon,6093,18007,55459,0,7381464,18007, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,276.87876,0,0,276.874674
146,Polygon,6101,18026,55425,0,7381361,18026, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,422447.7798,0,0,422447.6514
147,Polygon,6108,18045,55459,0,7381464,18045, , ,VRI,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,11827.31947,0,0,8519.442113
