ID,Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
21,Bucephala clangula,,Common Goldeneye,,B-COGO,ABNJB18010,G5,2016-4-6 0:00:00,S5,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DAB;DCC;DCH;DCK;DCO;DCS;DFN;DHW;DJA;DKA;DKL;DKM;DMH;DMK;DNC;DND;DOS;DPC;DPG;DQU;DRM;DSQ;DSS_B;DSS_C;DVA,2;3;4;5;6;7;8;9,EKRD;MVRD;CKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;SQCRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;NRRD;OSRD;FVRD,,BAFA;BG;BWBS;CDF;CWH;ESSF;ICH;IDF;IMA;MH;MS;PP;SBPS;SBS;SWB,Estuary;Riparian Forest;Stream/River;Lake;Deciduous/Broadleaf Forest;Conifer Forest - Mesic (average);Conifer Forest - Dry;Conifer Forest - Moist/wet;Subtidal Marine;Mixed Forest (deciduous/coniferous mix);Pond/Open Water;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
22,Bucephala islandica,,Barrow's Goldeneye,,B-BAGO,ABNJB18020,G5,2016-4-6 0:00:00,S4S5,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DAB;DCC;DCH;DCK;DCO;DCS;DFN;DHW;DJA;DKA;DKL;DKM;DMH;DMK;DND;DNI;DOS;DPC;DPG;DQU;DRM;DSQ;DSS_B;DSS_C;DVA,1;2;3;4;5;6;7;8;9,EKRD;CKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;CCRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;NRRD;OSRD;FVRD,,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS;SWB,Estuary;Bog;Fen;Swamp;Marsh;Alkali Ponds/Salt Flats;Riparian Forest;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Deciduous/Broadleaf Forest;Conifer Forest - Mesic (average);Conifer Forest - Dry;Conifer Forest - Moist/wet,Native,Regularly occurring,Y,,N,N,
23,Clangula hyemalis,,Long-tailed Duck,Old Squaw,B-LTDU,ABNJB16010,G5,2016-4-7 0:00:00,S2S3B,S4N,2015-3-5 0:00:00,2010-5-18 0:00:00,,,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DFN;DSS,6,PRRD;SKRD,,SBS,Estuary;Riparian Shrub;Stream/River;Lake;Tundra;Intertidal Marine;Pond/Open Water;Eelgrass Beds;Riparian Herbaceous;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,Y,
24,Cygnus buccinator,,Trumpeter Swan,,B-TRUS,ABNJB02030,G4,2016-4-7 0:00:00,S4B,S5N,2015-3-5 0:00:00,2005-11-29 0:00:00,NAR (May 1996),,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DJA;DKM;DMK;DNC;DND;DPC;DPG;DSS_B;DSS_C;DVA,6;7;9,,,BWBS;CWH;SBS,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Conifer Forest - Mesic (average);Conifer Forest - Dry;Conifer Forest - Moist/wet,Native,Regularly occurring,Y,,N,N,
25,Cygnus columbianus,,Tundra Swan,,B-TUSW,ABNJB02010,G5,2016-4-7 0:00:00,S3N,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Meadow;Pond/Open Water;Riparian Herbaceous;Mudflats - Intertidal;Sheltered Waters - Marine,Native,Regularly occurring,N,,N,N,
26,Cygnus cygnus,,Whooper Swan,,B-WHSW,ABNJB02020,G5,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,2002-10-10 0:00:00,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
27,Cygnus olor,,Mute Swan,,B-MUSW,ABNJB02040,G5,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,,,,Exotic,,,,,,Y,,,7 - Exotic (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Urban/Suburban,Exotic,Regularly occurring,N,,N,N,
28,Dendrocygna bicolor,,Fulvous Whistling-Duck,,B-FWDU,ABNJB01010,G5,1999-11-20 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
29,Histrionicus histrionicus,,Harlequin Duck,,B-HADU,ABNJB15010,G4,2016-4-8 0:00:00,S4B,S3N,2015-3-5 0:00:00,1996-6-1 0:00:00,,,Yellow,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DAB;DCC;DCH;DCK;DCO;DCR;DCS;DFN;DHW;DJA;DKA;DKL;DKM;DMH;DNC;DND;DNI;DOS;DPC;DPG;DQC;DQU;DRM;DSC;DSI;DSQ;DSS_B;DSS_C;DVA,1;2;3;4;5;6;7;8;9,EKRD;MVRD;CRD;CVRD;ACRD;CXRD;STRD;PWRD;SCRD;CKRD;SLRD;TNRD;NORD;CSRD;CBRD;MWRD;CCRD;SQCRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;NRRD;OSRD;FVRD,,BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,Estuary;Riparian Forest;Riparian Shrub;Stream/River;Lake;Cliff;Intertidal Marine;Subtidal Marine;Marine Island;Eelgrass Beds;Riparian Herbaceous;Gravel Bar;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,W,Monitoring nonbreeding concentrations. No occurrences currently mapped.
30,Lophodytes cucullatus,,Hooded Merganser,,B-HOME,ABNJB20010,G5,2016-4-9 0:00:00,S5,2015-3-5 0:00:00,2000-10-6 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Deciduous/Broadleaf Forest;Conifer Forest - Mesic (average);Conifer Forest - Dry;Conifer Forest - Moist/wet;Mixed Forest (deciduous/coniferous mix);Sheltered Waters ,Native,Regularly occurring,Y,,N,N,
31,Mareca americana,Anas americana,American Wigeon,,B-AMWI,ABNJB10180,G5,2016-4-6 0:00:00,S5B,S5N,2015-3-5 0:00:00,1997-6-16 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Urban/Suburban,Native,Regularly occurring,Y,,N,N,
32,Mareca falcata,Anas falcata,Falcated Duck,,B-FADU,ABNJB10030,G4G5,1996-11-21 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Unknown/Undetermined,Accidental/Nonregular,N,,N,N,
33,Mareca penelope,Anas penelope,Eurasian Wigeon,,B-EUWI,ABNJB10170,G5,2016-4-6 0:00:00,SNRN,2015-3-5 0:00:00,2009-12-18 0:00:00,,,No Status,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Urban/Suburban,Native,Regularly occurring,N,,N,N,
34,Mareca strepera,Anas strepera,Gadwall,,B-GADW,ABNJB10160,G5,2016-4-6 0:00:00,S5,2015-3-5 0:00:00,2005-11-29 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine,Native,Regularly occurring,Y,,N,N,
35,Melanitta americana,Melanitta nigra,Black Scoter,,B-BLSC,ABNJB17040,G5,2016-4-9 0:00:00,S3S4N,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,CDF;CMA;CWH;MH,Estuary;Stream/River;Lake;Intertidal Marine;Subtidal Marine;Sheltered Waters - Marine,Native,Regularly occurring,N,,N,N,
36,Melanitta deglandi,,White-winged Scoter,,B-WWSC,ABNJB17030,G5,2016-4-9 0:00:00,S4S5,2015-3-5 0:00:00,2013-1-2 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Stream/River;Lake;Intertidal Marine;Subtidal Marine;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
37,Melanitta perspicillata,,Surf Scoter,,B-SUSC,ABNJB17020,G5,2016-4-9 0:00:00,S3B,S4N,2015-3-5 0:00:00,2000-3-14 0:00:00,,,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DFN;DPC;DSS_B,6;9,BNRD;PRRD;NRRD,,BG;BWBS;CDF;CWH;ICH;IDF;MS;PP;SBPS;SBS;SWB,Riparian Forest;Riparian Shrub;Lake;Subtidal Marine;Pond/Open Water;Riparian Herbaceous;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,Y,
38,Mergellus albellus,,Smew,,B-SMEW,ABNJB19010,G4,2016-4-9 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
39,Mergus merganser,,Common Merganser,,B-COME,ABNJB21010,G5,2016-4-9 0:00:00,S5,2015-3-5 0:00:00,1998-6-30 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Riparian Forest;Riparian Shrub;Stream/River;Lake;Intertidal Marine;Deciduous/Broadleaf Forest;Conifer Forest - Moist/wet;Mixed Forest (deciduous/coniferous mix);Riparian Herbaceous;Gravel Bar,Native,Regularly occurring,Y,,N,N,
40,Mergus serrator,,Red-breasted Merganser,,B-RBME,ABNJB21020,G5,2016-4-9 0:00:00,S4B, SNRN,2015-3-5 0:00:00,1992-12-16 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Riparian Forest;Riparian Shrub;Stream/River;Lake;Subtidal Marine;Marine Island;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
41,Oxyura jamaicensis,,Ruddy Duck,,B-RUDU,ABNJB22010,G5,2016-4-9 0:00:00,S5,2015-3-5 0:00:00,1998-6-30 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Bog;Fen;Swamp;Marsh;Lake;Intertidal Marine;Subtidal Marine;Pond/Open Water,Native,Regularly occurring,Y,,N,N,
42,Polysticta stelleri,,Steller's Eider,,B-STEI,ABNJB13010,G3,2008-1-9 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
43,Sibirionetta formosa,Anas formosa,Baikal Teal,,B-BATE,ABNJB10020,G4,1996-11-21 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
44,Somateria fischeri,,Spectacled Eider,,B-SPEI,ABNJB12030,G3,2009-2-9 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
45,Somateria mollissima,,Common Eider,,B-COEI,ABNJB12010,G5,2016-4-9 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
46,Somateria spectabilis,,King Eider,,B-KIEI,ABNJB12020,G5,2016-4-9 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
