Survey Name,Footprint,Valley,Mitigation Property,ValleyUpstPine,ValleyUpstDam,Location Reference,Station,Sample Station Label,BBFM_ID,UTM Zone Sample Station,Easting Sample Station,Northing Sample Station,Longitude,Latitude,Sample Station Photos,Sample Station Comments
Point Counts 2016,No,Yes,No,Yes,Yes,Halfway River,165,PC16-165,BBFM0917,10,592512,6228878,-121.5090584,56.19585197,,(New)
Point Counts 2016,No,Yes,No,No,No,Clayhurst,001,PC16-001,BBFM0805,10,684633,6225312,-120.0285829,56.13706782,,First plot was completed in incorrect location.
Point Counts 2016,No,Yes,No,No,No,Clayhurst,001A,PC16-001A,BBFM0805,10,684641,6225310,-120.0284558,56.13704678,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,002,PC16-002,BBFM0805,10,684633,6225312,-120.0285829,56.13706782,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,002A,PC16-002A,BBFM0796,10,684386,6225079,-120.0327132,56.13507265,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,003,PC16-003,BBFM0791,10,684178,6224973,-120.0361287,56.13420182,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,003A,PC16-003A,BBFM0791,10,684174,6224974,-120.0361923,56.13421234,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,004,PC16-004,BBFM0778,10,684044,6224818,-120.0383888,56.13286272,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,005,PC16-005,BBFM0773,10,683805,6224720,-120.0422966,56.13207545,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,006,PC16-006,BBFM0765,10,684271,6224579,-120.0349066,56.13063069,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,007,PC16-007,BBFM0751,10,684034,6224424,-120.0388214,56.12933131,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,008,PC16-008,BBFM0744,10,683753,6224343,-120.0433918,56.12871273,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,009,PC16-009,BBFM0737,10,682746,6224238,-120.0596424,56.12815699,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,013,PC16-013,BBFM0730,10,682527,6224125,-120.0632382,56.1272268,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,014,PC16-014,BBFM0717,10,682337,6224022,-120.0663611,56.12637516,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,015,PC16-015,BBFM0731,10,681920,6224174,-120.0729567,56.12789809,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,016,PC16-016,BBFM0721,10,681842,6224068,-120.0742822,56.12697665,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,017,PC16-017,BBFM0558,10,677353,6222182,-120.1476585,56.11174059,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,018,PC16-018,BBFM0517,10,676937,6221839,-120.1545669,56.10881683,,
Point Counts 2016,No,Yes,No,No,No,Clayhurst,019,PC16-019,BBFM0497,10,676590,6221685,-120.1602414,56.10756322,,
Point Counts 2016,No,Yes,No,No,No,Downstream Boat,023,PC16-023,BBFM0525,10,653925,6221914,-120.5241757,56.11745744,,
Point Counts 2016,No,Yes,No,No,No,Downstream Boat,024,PC16-024,BBFM0518,10,653673,6221840,-120.5282674,56.11687431,,
Point Counts 2016,No,Yes,No,No,No,Downstream Boat,025,PC16-025,BBFM0508,10,653431,6221774,-120.5321936,56.11635965,,
Point Counts 2016,No,Yes,No,No,No,Downstream Boat,034,PC16-034,BBFM0476,10,651971,6221396,-120.5558675,56.11343318,,There are many mature conifers within habitat. Habitat may need ot be switched to UFS. JM: kept as RF
Point Counts 2016,No,Yes,No,No,No,Downstream Boat,036,PC16-036,BBFM0501,10,651590,6221739,-120.5617941,56.1166332,,
Point Counts 2016,No,Yes,No,No,No,Downstream Boat,037,PC16-037,BBFM0514,10,651382,6221830,-120.5650845,56.11751603,,
Point Counts 2016,No,Yes,No,No,No,Downstream Boat,039,PC16-039,BBFM0652,10,648453,6223107,-120.6114391,56.12989882,,
