StationID,BHC20_100,area.x,BHC20_250,area.y,BHC33_100,area.x.x,BHC33_250,area.y.y
CONI19-138,CUL,30801.66563,CUL,127773.6583,CUL,30801.66563,CUL,127773.6583
CONI19-141,NVE,31415.92654,WAT,99277.64269,NVE,31415.92654,WAT,99277.64269
CONI19-142,DSH,31415.92654,DSH,166647.521,DSH-At,31415.92654,DSH-At,166647.521
CONI19-145,ANT,14182.64621,DYF,84539.24028,ANT,14182.64621,DYF-At,84539.24028
CONI19-148,DYF,30845.90971,DYF,162209.3859,DYF-At,28908.58169,DYF-At,135932.9872
CONI19-152,NVE,25626.64294,NVE,80052.5715,NVE,25626.64294,NVE,80052.5715
CONI19-157,NVE,11527.58171,CMF,97853.58448,NVE,11527.58171,CMF-Sw,97853.58448
CONI19-159,WRI,22044.77292,CMF,70756.2629,WRI,22044.77292,CMF-Sw,70756.2629
CONI19-173,RSH,27022.03872,WAT,68417.44746,RSH-Ac,27022.03872,WAT,68417.44746
CONI19-180,NVE,25872.32971,WAT,69220.75163,NVE,25872.32971,WAT,69220.75163
CONI19-181,NVE,18820.27381,NVE,71875.57263,NVE,18820.27381,NVE,71875.57263
CONI19-185,CSH,11712.89864,CMF,85537.15763,CSH-Sw,11712.89864,CMF-Sw,85537.15763
CONI19-187,RSH,11897.28679,WAT,70911.11688,RSH-Ac,11897.28679,WAT,70911.11688
CONI19-205,DSH,31415.92654,DSH,169344.3809,DSH-Ep,31415.92654,DSH-Ep,155055.9497
CONI19-208,CUL,31415.92654,CUL,196348.3552,CUL,31415.92654,CUL,196348.3552
CONI19-209,CUL,31415.45398,CUL,196348.6287,CUL,31415.45398,CUL,196348.6287
CONI19-211,WGR,31415.92654,WGR,136298.7564,WGR,31415.92654,WGR,136298.7564
CONI19-214,CUL,31415.92654,CUL,196349.5408,CUL,31415.92654,CUL,196349.5408
CR-E-01,CUL,30584.42831,CUL,148001.517,CUL,30584.42831,CUL,148001.517
CR-E-02,CUL,31258.66868,CUL,164916.0107,CUL,31258.66868,CUL,164916.0107
CR-E-03,CUL,31159.89774,CUL,142270.2086,CUL,31159.89774,CUL,142270.2086
CR-E-04,CUL,25748.29239,CUL,129100.3576,CUL,25748.29239,CUL,129100.3576
CR-E-05,CUL,29463.05834,CUL,158948.8307,CUL,29463.05834,CUL,158948.8307
CR-E-06,CUL,31415.92654,CUL,184835.9778,CUL,31415.92654,CUL,184835.9778
CR-E-07,CUL,31415.74034,CUL,193963.187,CUL,31415.74034,CUL,193963.187
CR-E-08,CUL,25573.88456,DSH,108248.0971,CUL,25573.88456,DSH-At,108248.0971
CR-E-09,CUL,31346.08318,CUL,144529.605,CUL,31346.08318,CUL,144529.605
DR01-1,CUL,31415.92654,CUL,196348.5663,CUL,31415.92654,CUL,196348.5663
DR01-10,FBS,31415.5431,FBS,172981.6407,FBS-Lt,17666.24968,FBS-Lt,129792.681
DR01-11,FBS,29211.84993,FBS,145356.1221,FBS-Lt,29211.84993,FBS-Lt,145356.1221
DR01-12,FBS,18119.58362,FBS,100202.8386,FBS-Lt,18119.58362,FBS-Lt,100202.8386
DR01-13,DSH,19302.19384,DYF,64586.49488,DSH-At,19302.19384,DYF-At,64586.49488
DR01-14,CSH,12501.91712,CYF,77898.86215,CSH-Sw,12501.91712,CYF-Sw,77898.86215
DR01-15,CUL,31011.3395,CUL,156984.2721,CUL,31011.3395,CUL,156984.2721
DR01-16,CUL,19703.00158,DYF,87600.92772,CUL,19703.00158,DYF-At,87600.92772
DR01-17,CUL,31415.92654,CUL,195320.1637,CUL,31415.92654,CUL,195320.1637
DR01-18,CUL,31415.92654,CUL,196348.7252,CUL,31415.92654,CUL,196348.7252
DR01-19,DMF,30270.92898,DMF,111605.293,DMF-At,30270.92898,DMF-At,111605.293
DR01-2,CUL,31415.92654,CUL,196284.0098,CUL,31415.92654,CUL,196284.0098
DR01-20,CUL,31415.92654,CUL,190402.708,CUL,31415.92654,CUL,190402.708
DR01-3,CUL,31415.92654,CUL,196348.7423,CUL,31415.92654,CUL,196348.7423
DR01-4,CUL,31415.92654,CUL,193749.6132,CUL,31415.92654,CUL,193749.6132
DR01-5,CUL,31415.92654,CUL,196348.959,CUL,31415.92654,CUL,196348.959
DR01-6,CUL,31415.92654,CUL,190442.3871,CUL,31415.92654,CUL,190442.3871
DR01-7,DSH,13715.20107,DSH,100814.8272,DSH-At,13715.20107,DSH-At,100814.8272
DR01-8,DMF,31415.503,DMF,196348.2968,DMF-At,31415.503,DMF-At,196348.2968
DR01-9,ANT,15670.89476,DMF,104342.1078,ANT,15670.89476,DMF-At,104342.1078
DR03-1,CMF,18663.72242,CMF,132949.7413,CMF-Sw,18663.72242,CMF-Sw,132949.7413
DR03-2,CMF,22262.50126,CMF,122661.3969,CMF-Sw,22262.50126,CMF-Sw,122661.3969
DR03-3,CMF,9394.624537,DMF,59872.82889,CMF-Sw,9394.624537,DMF-At,59872.82889
DR03-4,CMF,15672.85041,CMF,85352.69125,CMF-Sw,15672.85041,CMF-Sw,85352.69125
DR03-5,CMF,11323.84073,CMF,101596.1817,CMF-Sw,11323.84073,CMF-Sw,101596.1817
DR03-6,CMF,22203.78736,CMF,135541.8926,CMF-Sw,22203.78736,CMF-Sw,135541.8926
DR03-7,CMF,31415.92654,CMF,176098.5849,CMF-Sw,31415.92654,CMF-Sw,176098.5849
DR03-8,DYF,14596.50524,CMF,75441.43087,DYF-At,14596.50524,CMF-Sw,75441.43087
HH01-1,RSH,12168.11189,DSH,73857.74914,RSH-Ac,12168.11189,DSH-Ac,70554.24985
HH01-2,ANT,11595.28617,CUL,60021.57625,ANT,11595.28617,CUL,60021.57625
HH01-4,DYF,15294.00032,CYF,58156.76517,DYF-At,15294.00032,CYF-Pl,54729.40115
HH01-5,ANT,21482.48687,CYF,67464.8654,ANT,21482.48687,CYF-Pl,67464.8654
HH01-6,DSG,13141.87454,DYF,74412.42591,DSG,13141.87454,DYF-At,74412.42591
HH01-7,DYF,29822.67551,DYF,154328.11,DYF-At,18821.94259,DYF-At,113772.1909
HH02-1,CUL,26603.19583,CUL,136512.795,CUL,26603.19583,CUL,136512.795
HH02-10,CUL,31415.92654,CUL,180804.3809,CUL,31415.92654,CUL,180804.3809
HH02-2,ANT,15705.15033,DMF,125942.9239,ANT,15705.15033,DMF-At,125942.9239
HH02-3,DMF,17885.41764,DMF,109117.4034,DMF-At,17885.41764,DMF-At,109117.4034
HH02-4,CSH,12986.63422,DMF,82404.63217,CSH-Sw,12986.63422,DMF-At,82404.63217
HH02-5,CUL,15148.84678,DMF,87878.48307,CUL,15148.84678,DMF-At,87878.48307
HH02-6,CUL,14435.00226,CUL,109042.345,CUL,14435.00226,CUL,109042.345
HH02-7,CUL,22914.70105,CUL,125093.3412,CUL,22914.70105,CUL,125093.3412
HH02-8,CUL,31252.00474,CUL,181754.2789,CUL,31252.00474,CUL,181754.2789
HH02-9,CUL,11949.78956,CUL,87847.65434,CUL,11949.78956,CUL,87847.65434
HW01-1,DSG,24770.09526,DSG,90272.33273,DSG,24770.09526,DSG,90272.33273
