StationID,BHC20_1,Area (m)
85-C-01,CUL,45731.05165
85-C-01,DYF,47213.82213
85-C-01,NVE,103403.4883
85-C-02,ANT,67698.88477
85-C-02,CUL,123159.8294
85-C-02,DYF,5490.025142
85-C-03,CUL,167790.6831
85-C-03,CYF,94.380269
85-C-03,DYF,28463.87789
85-C-04,ANT,4967.514118
85-C-04,CUL,148284.1436
85-C-04,CYF,43097.0189
85-C-05,ANT,34275.62427
85-C-05,CUL,162073.0172
85-C-06,ANT,6322.331844
85-C-06,CUL,189120.0014
85-C-06,CYF,906.250125
85-C-07,ANT,90683.3049
85-C-07,CUL,105665.4876
AE-C-01,CUL,38927.66166
AE-C-01,DYF,152950.9509
AE-C-01,WRI,4469.601465
AE-C-02,CUL,88806.05077
AE-C-02,CYF,12155.71584
AE-C-02,DSH,8263.632078
AE-C-02,DYF,38154.67052
AE-C-02,RSH,30927.75547
AE-C-02,WRI,18040.55178
AE-C-03,CUL,47066.72558
AE-C-03,CYF,62732.47001
AE-C-03,DSH,10261.59804
AE-C-03,DYF,38889.24178
AE-C-03,RSH,24208.50374
AE-C-03,WRI,13190.06559
AE-C-04,CUL,51808.39157
AE-C-04,CYF,87310.22333
AE-C-04,DYF,30149.90488
AE-C-04,RMF,14916.92427
AE-C-04,WRI,12163.17528
AE-C-05,CYF,143232.7787
AE-C-05,DYF,45955.54549
AE-C-05,RMF,7160.38922
AE-C-06,CUL,7124.8123
AE-C-06,CYF,180114.7736
AE-C-06,DYF,9108.647878
AE-C-07,CYF,4726.936474
AE-C-07,DMF,7064.91655
AE-C-07,DSS,39459.1722
AE-C-07,DYF,139473.9877
AE-C-07,WAT,5623.434773
AE-C-08,CMF,137470.2824
AE-C-08,DMF,55749.8102
AE-C-08,DYF,3128.746532
AE-C-09,ANT,3277.75998
AE-C-09,CUL,66946.83887
AE-C-09,CYF,0.251598
AE-C-09,DMF,3046.294756
AE-C-09,DSG,318.801947
AE-C-09,DYF,122758.5098
AE-C-10,ANT,62641.78923
AE-C-10,CUL,95334.04279
AE-C-10,DYF,38372.76537
AE-C-11,CUL,55078.279
AE-C-11,DMF,107776.4683
AE-C-11,DYF,15880.36454
AE-C-11,NVE,17613.65758
AE-C-12,ANT,1515.414544
AE-C-12,CUL,38900.33831
AE-C-12,DMF,137992.0842
AE-C-12,DYF,17931.94774
CH01-1,CSH,2145.758576
CH01-1,CYF,8618.078782
CH01-1,DSG,19805.24205
CH01-1,DSS,15576.94893
CH01-1,DYF,50899.42875
CH01-1,RYF,25993.95676
CH01-1,WAT,65838.74882
CH01-1,WRI,7470.308065
CH01-2,CUL,77032.45966
CH01-2,DYF,119316.1772
CH01-3,CUL,154174.4885
CH01-3,DYF,42174.40022
CL04-1,ANT,12896.3775
CL04-1,CUL,55289.43141
CL04-1,DMF,15088.3909
CL04-1,DYF,113074.5985
CL04-2,CUL,196348.8081
CL04-3,CUL,182737.5351
CL04-3,DYF,13611.15035
CL04-4,CUL,196349.4133
CL04-5,CUL,152820.6351
CL04-5,CYF,24575.00551
CL04-5,DYF,18952.96749
CL04-6,CUL,171537.7249
CL04-6,DYF,24810.98177
CL04-7,CUL,196348.7111
CL04-8,ANT,1321.719601
CL04-8,CUL,119283.4203
CL04-8,DSH,2592.092521
CL04-8,DYF,73151.65093
CL05-1,CUL,196348.8629
CL05-2,CUL,195316.7767
CL05-2,DYF,1032.088828
CL05-3,CUL,196349.2845
CL05-4,CUL,187200.1737
CL05-4,DYF,9148.146711
CL05-5,CUL,192399.4291
CL05-5,DYF,3949.437468
CL05-6,CUL,149450.0794
CL05-6,DYF,46898.5259
CL05-7,CUL,115820.9267
CL05-7,DSH,9282.400125
CL05-7,DSS,44498.01824
CL05-7,DYF,26747.24292
CONI18-009,CMF,26836.73718
CONI18-009,DYF,2329.166169
CONI18-009,NVE,11704.18753
CONI18-009,RSH,46703.17633
CONI18-009,RYF,88360.13803
CONI18-009,WAT,20415.2024
CONI18-010,CMF,58590.92579
CONI18-010,CSH,7950.144384
CONI18-010,DMF,945.395818
CONI18-010,RMF,21309.14556
CONI18-010,RSH,53725.8636
CONI18-010,WAT,53827.38955
CONI18-011,DYF,5337.883213
CONI18-011,NVE,142372.5775
CONI18-011,WAT,48638.19202
CONI18-012,CMF,30989.8847
CONI18-012,DYF,16157.01968
CONI18-012,NVE,91816.12043
CONI18-012,RMF,49566.24537
CONI18-012,RSH,7819.317923
CONI18-013,CYF,54.345951
CONI18-013,DSG,2521.126064
CONI18-013,DYF,67241.81148
CONI18-013,NVE,54299.22792
CONI18-013,RMF,46988.82689
CONI18-013,RSH,13724.03658
CONI18-013,RYF,11519.19495
CONI18-014,DSG,3296.624368
CONI18-014,DYF,3579.365233
CONI18-014,NVE,36204.20075
CONI18-014,RMF,17526.48407
CONI18-014,RSH,60279.22902
CONI18-014,RYF,59063.79013
CONI18-014,WRI,16398.79994
CONI18-015,NVE,130315.8553
CONI18-015,RSH,29266.59133
CONI18-015,WAT,36766.19621
CONI18-016,CUL,1379.306036
CONI18-016,DSG,20344.32356
CONI18-016,DSH,60698.26397
CONI18-016,DYF,37868.45552
CONI18-016,NVE,11095.50593
CONI18-016,WAT,64962.55755
CONI18-017,CYF,30849.24564
CONI18-017,DYF,110426.3533
CONI18-017,RSH,50441.57007
CONI18-017,WAT,4631.202626
CONI18-018,DYF,36884.11317
CONI18-018,RSH,123682.02
CONI18-018,WAT,35782.46958
CONI18-019,CMF,2458.583654
CONI18-019,CYF,10846.06109
CONI18-019,DSH,26193.57171
CONI18-019,NVE,4772.395071
CONI18-019,RSH,104536.5178
CONI18-019,WAT,47541.63737
CONI18-020,CUL,25983.52115
CONI18-020,DSH,48659.54185
CONI18-020,DSS,23786.66826
CONI18-020,DYF,18583.09084
CONI18-020,NVE,12805.47474
CONI18-020,RSH,837.196632
CONI18-020,WAT,65693.10994
CONI18-021,CUL,7615.728878
CONI18-021,NVE,20070.0035
CONI18-021,RSH,74181.55405
CONI18-021,RYF,11370.37712
CONI18-021,WAT,83110.7764
CONI18-022,NVE,37466.46689
CONI18-022,RSH,73307.5862
CONI18-022,RYF,6899.278412
CONI18-022,WAT,78675.24504
CONI18-023,CMF,54061.12144
CONI18-023,DMF,68317.0244
CONI18-023,NVE,73970.54248
CONI18-025,CYF,11015.36698
CONI18-025,NVE,7710.75481
CONI18-025,RSH,140176.0795
CONI18-025,WAT,37446.25368
CONI18-026,CMF,21664.11478
CONI18-026,CYF,39650.72106
CONI18-026,DYF,7798.645376
CONI18-026,NVE,14621.61391
CONI18-026,RSH,59188.3144
CONI18-026,WAT,53425.23305
CONI18-027,CYF,4681.210423
CONI18-027,DYF,8990.620753
CONI18-027,NVE,3473.693586
CONI18-027,RSH,144280.4217
CONI18-027,WAT,34922.64003
CONI18-028,DYF,87933.70928
CONI18-028,NVE,22430.6173
CONI18-028,RSH,8722.172992
CONI18-028,WAT,77262.21564
CONI18-030,DSH,11437.05197
CONI18-030,DYF,154520.1244
CONI18-030,WAT,30391.47362
CONI18-032,CUL,162615.4927
CONI18-032,DYF,2082.011615
CONI18-032,WAT,31651.07578
CONI18-033,CUL,143802.7932
CONI18-033,DSS,26016.76691
CONI18-033,DYF,11101.63461
CONI18-033,NVE,15427.32008
CONI18-034,CUL,89606.65195
CONI18-034,NVE,13138.90014
CONI18-034,RSH,15556.32917
CONI18-034,RYF,7257.538654
CONI18-034,WAT,12751.72112
CONI18-034,WRI,58037.70735
CONI18-035,CMF,24355.93208
CONI18-035,CUL,25772.57408
CONI18-035,DMF,2623.854483
CONI18-035,DSS,7923.817097
CONI18-035,DYF,14411.58091
CONI18-035,NVE,19039.13725
CONI18-035,RMF,56128.84031
CONI18-035,RSH,4112.697883
CONI18-035,WAT,5691.714584
CONI18-035,WRI,36288.20289
CONI18-036,CMF,10846.81656
CONI18-036,DSH,17020.30356
CONI18-036,DYF,128037.445
CONI18-036,NVE,31252.69508
CONI18-036,WAT,5783.587743
CONI18-036,WRI,3407.64439
CONI18-037,RSH,1396.16446
CONI18-037,RYF,22823.48297
CONI18-037,WRI,172129.0031
CONI18-038,CUL,19148.13184
CONI18-038,DSG,21250.39436
CONI18-038,DSH,21834.85538
CONI18-038,DYF,134115.2902
CONI18-039,CMF,8532.080282
CONI18-039,NVE,94218.16011
CONI18-039,RSH,26340.17579
CONI18-039,WAT,67258.16235
CONI18-040,ANT,15798.85725
CONI18-040,CMF,40056.82763
CONI18-040,CUL,195.315489
CONI18-040,DSH,71187.63096
CONI18-040,DYF,69109.68527
CONI18-041,CUL,50438.56704
CONI18-041,DSH,6937.841621
CONI18-041,DYF,11111.77346
CONI18-041,NVE,42517.39347
CONI18-041,RYF,85342.728
CONI18-043,DYF,147783.1248
CONI18-043,RMF,566.786351
CONI18-043,WGR,28014.88117
CONI18-043,WRI,19983.85583
CONI18-044,NVE,11175.69602
CONI18-044,RMF,33324.40971
CONI18-044,RSH,528.176408
CONI18-044,RYF,5846.611109
CONI18-044,WAT,46334.3155
CONI18-044,WRI,99139.21811
CONI18-045,CMF,3365.421747
CONI18-045,RMF,28890.76109
CONI18-045,RSH,94418.69234
CONI18-045,WAT,69673.80371
CONI18-046,CUL,23078.32283
CONI18-046,DYF,83612.09364
CONI18-046,WGR,30268.21273
CONI18-046,WSH,59389.98221
CONI18-047,CMF,20512.28585
CONI18-047,CUL,94659.46346
CONI18-047,DSH,69504.01545
CONI18-047,DYF,11672.78536
CONI18-049,ANT,64897.53286
CONI18-049,CUL,39978.66956
CONI18-049,CYF,4758.114757
CONI18-049,DYF,86713.94024
CONI18-050,RMF,10561.37274
CONI18-050,RSH,118213.7001
CONI18-050,RYF,16244.51615
CONI18-050,WAT,51328.81621
CONI18-051,DYF,65953.10021
CONI18-051,WGR,130395.71
CONI18-052,CUL,55805.43216
CONI18-052,CYF,5297.922123
CONI18-052,DSH,15862.14851
CONI18-052,FBT,42038.28741
CONI18-052,WGR,77344.84837
CONI18-053,CUL,163955.6564
CONI18-053,DSH,25873.51387
CONI18-053,DYF,6487.007181
CONI18-053,NVE,32.403489
CONI18-056,CUL,150330.4915
CONI18-056,DYF,16654.25347
CONI18-056,WAT,29364.16521
CONI18-057,CMF,17485.19473
CONI18-057,CYF,2051.094407
CONI18-057,NVE,49575.09387
CONI18-057,RSH,67248.03716
CONI18-057,WAT,59989.3477
CONI18-058,DYF,242.892819
CONI18-058,NVE,54776.15026
CONI18-058,RMF,197.470672
CONI18-058,RSH,28049.83315
CONI18-058,WAT,61226.10411
CONI18-058,WRI,51856.22204
CONI18-059,NVE,11444.28412
CONI18-059,RMF,27741.44667
CONI18-059,RSH,71444.38093
CONI18-059,RYF,12434.41918
CONI18-059,WAT,73283.88381
CONI18-060,CMF,3310.638105
CONI18-060,NVE,52391.75507
CONI18-060,RYF,50095.32044
CONI18-060,WAT,58318.71444
CONI18-060,WRI,32232.09936
CONI18-061,NVE,48809.81719
CONI18-061,RSH,542.399023
CONI18-061,WRI,146996.4484
CONI18-063,CUL,9300.571632
CONI18-063,DSH,5657.662018
CONI18-063,DYF,3837.065689
CONI18-063,NVE,25800.93039
CONI18-063,RSH,43036.5318
CONI18-063,RYF,48734.54405
CONI18-063,WAT,59981.4867
CONI18-064,CUL,174226.4635
CONI18-064,DSS,7672.715262
CONI18-064,DYF,13472.30468
CONI18-064,NVE,976.982018
CONI18-065,CMF,4335.77212
CONI18-065,CUL,191797.7535
CONI18-065,NVE,214.99224
CONI18-066,CMF,35623.05462
CONI18-066,CUL,22176.75625
CONI18-066,NVE,52264.99943
CONI18-066,RSH,3111.894076
CONI18-066,RYF,25446.35042
CONI18-066,WAT,57725.4449
CONI18-067,NVE,76526.36467
CONI18-067,WAT,118693.1823
CONI18-067,WRI,1129.281895
CONI18-069,DSH,94091.04479
CONI18-069,DYF,14800.68167
CONI18-069,RSH,39947.20064
CONI18-069,WAT,47509.56338
CONI18-071,CYF,10336.1614
CONI18-071,DSH,26008.99139
CONI18-071,NVE,27281.10166
CONI18-071,RSH,41480.20576
CONI18-071,RYF,2064.457325
CONI18-071,WAT,89177.79404
CONI18-074,CMF,58999.02261
CONI18-074,CYF,2605.978488
CONI18-074,DMF,278.157346
CONI18-074,DSG,40381.74921
CONI18-074,DYF,3246.195192
CONI18-074,NVE,9111.199331
CONI18-074,RSH,3739.208019
CONI18-074,WAT,77987.0517
CONI18-076,DYF,11061.99574
CONI18-076,RSH,141006.2176
CONI18-076,WAT,44280.43236
CONI18-077,CMF,11660.59819
CONI18-077,CYF,46270.79307
CONI18-077,DMF,219.505578
CONI18-077,DSH,811.198098
CONI18-077,DYF,5940.608018
CONI18-077,NVE,10468.55377
CONI18-077,RSH,27341.9326
CONI18-077,RYF,22305.36925
CONI18-077,WAT,42615.02318
CONI18-077,WRI,28714.99357
CONI18-078,DMF,624.343382
CONI18-078,DSG,8726.618344
CONI18-078,DSH,63730.57553
CONI18-078,DYF,17331.12662
CONI18-078,RSH,16099.28542
CONI18-078,WAT,60747.67405
CONI18-078,WRI,29088.97634
CONI18-079,DSG,1375.413313
CONI18-079,DSS,9318.408175
CONI18-079,DYF,2071.416852
CONI18-079,NVE,7277.514473
CONI18-079,WAT,48899.45582
CONI18-079,WRI,127406.2564
CONI18-080,CMF,21091.95584
CONI18-080,DSH,69674.74564
CONI18-080,DYF,10258.99031
CONI18-080,NVE,2745.379127
CONI18-080,RYF,4308.624215
CONI18-080,WAT,57432.65237
CONI18-080,WRI,30836.09497
CONI19-001,CUL,119417.9703
CONI19-001,RMF,7060.756806
CONI19-001,RSH,56687.26925
CONI19-001,WRI,13182.61011
CONI19-002,CUL,117511.2277
CONI19-002,RSH,18912.0124
CONI19-002,WAT,56936.57531
CONI19-002,WRI,2988.723839
CONI19-003,RYF,109.563435
CONI19-003,WAT,180036.6351
CONI19-003,WRI,16202.45864
CONI19-004,CUL,177219.7739
CONI19-004,DYF,2234.957671
CONI19-004,WAT,6256.819674
CONI19-004,WRI,10637.01824
CONI19-005,ANT,1339.620862
CONI19-005,CUL,185959.9215
CONI19-005,DSH,6247.013691
CONI19-005,WRI,2801.903443
CONI19-006,NVE,87021.39635
CONI19-006,RSH,108818.1531
CONI19-006,WAT,509.244654
CONI19-009,ANT,2043.991211
CONI19-009,DSG,3751.134279
CONI19-009,DSH,9959.090577
CONI19-009,DYF,74224.4289
CONI19-009,NVE,74483.54064
CONI19-009,RMF,18018.16692
CONI19-009,WAT,13868.10454
CONI19-010,CMF,1723.069171
CONI19-010,RSH,100778.6415
CONI19-010,RYF,44693.5097
CONI19-010,WAT,49153.40234
