Predicted,SE,lower,upper,BHC,Year,hour
0.49569989420641203,0.1411643504086165,0.24527176682049648,0.7483043547145346,DSH,2018,0.934
0.9182342471214368,0.037539836436333164,0.808240520879453,0.9676598228113668,RSH,2018,0.934
0.3365968664417121,0.19774917120763258,0.08209634590182642,0.7421560875238522,WGR,2018,0.934
0.6517504274295841,0.14286508032530693,0.35275824007145373,0.8653460795680914,WRI,2018,0.934
0.5994609286201804,0.23680931900359126,0.1780197714364482,0.9118359397889135,DSS,2018,0.934
0.5457831176671208,0.1352802053489989,0.2919570799936154,0.7778518645346384,CUL,2018,0.934
0.6841945770140846,0.11259023608757784,0.4382727017264523,0.8574667772132435,NVE,2018,0.934
0.6153915235279838,0.23014592940279,0.1921991561355935,0.9149670382546348,ANT,2018,0.934
0.1563158571273239,0.08277478051583324,0.05136514893753133,0.38799809732331286,DSH,2019,0.934
0.6791559044683276,0.09631882514079922,0.4709180342465512,0.8342773216454952,RSH,2019,0.934
0.08728894484620651,0.07651052050117119,0.014351534787445842,0.3858126345924602,WGR,2019,0.934
0.26077269510082723,0.10863804050146897,0.10465706792811665,0.5156461808800687,WRI,2019,0.934
0.2200321253046586,0.14840893294644128,0.04924802161940143,0.6057365191051135,DSS,2019,0.934
0.18466559073607539,0.06755316235836077,0.0859261984657895,0.3530450468676489,CUL,2019,0.934
0.28995912357359654,0.08969381504249212,0.14811657870700487,0.4895727291476046,NVE,2019,0.934
0.23171264165087554,0.18365908346303134,0.038394373921768164,0.69494949133172,ANT,2019,0.934
