StationID,BHC33_1,Area (m)
85-C-01,CUL,45731.05165
85-C-01,DYF-At,47213.82213
85-C-01,NVE,103403.4883
85-C-02,ANT,67698.88477
85-C-02,CUL,123159.8294
85-C-02,DYF-At,5490.025142
85-C-03,CUL,167790.6831
85-C-03,CYF-Sw,94.380269
85-C-03,DYF-At,28463.87789
85-C-04,ANT,4967.514118
85-C-04,CUL,148284.1436
85-C-04,CYF-Sw,43097.0189
85-C-05,ANT,34275.62427
85-C-05,CUL,162073.0172
85-C-06,ANT,6322.331844
85-C-06,CUL,189120.0014
85-C-06,CYF-Sw,906.250125
85-C-07,ANT,90683.3049
85-C-07,CUL,105665.4876
AE-C-01,CUL,38927.66166
AE-C-01,DYF-At,152950.9509
AE-C-01,WRI,4469.601465
AE-C-02,CUL,88806.05077
AE-C-02,CYF-Sw,12155.71584
AE-C-02,DSH-At,8263.632078
AE-C-02,DYF-At,38154.67052
AE-C-02,RSH-Ac,30927.75547
AE-C-02,WRI,18040.55178
AE-C-03,CUL,47066.72558
AE-C-03,CYF-Sw,62732.47001
AE-C-03,DSH-At,10261.59804
AE-C-03,DYF-At,38889.24178
AE-C-03,RSH-Ac,24208.50374
AE-C-03,WRI,13190.06559
AE-C-04,CUL,51808.39157
AE-C-04,CYF-Sw,87310.22333
AE-C-04,DYF-At,30149.90488
AE-C-04,RMF-Ac,14916.92427
AE-C-04,WRI,12163.17528
AE-C-05,CYF-Sw,143232.7787
AE-C-05,DYF-At,45955.54549
AE-C-05,RMF-Ac,7160.38922
AE-C-06,CUL,7124.8123
AE-C-06,CYF-Sw,180114.7736
AE-C-06,DYF-At,9108.647878
AE-C-07,CYF-Sw,4726.936474
AE-C-07,DMF-Ac,7064.91655
AE-C-07,DSS,39459.1722
AE-C-07,DYF-At,139473.9877
AE-C-07,WAT,5623.434773
AE-C-08,CMF-Sw,137470.2824
AE-C-08,DMF-At,55749.8102
AE-C-08,DYF-At,3128.746532
AE-C-09,ANT,3277.75998
AE-C-09,CUL,66946.83887
AE-C-09,CYF-Sw,0.251598
AE-C-09,DMF-Ac,3046.294756
AE-C-09,DSG,318.801947
AE-C-09,DYF-At,122758.5098
AE-C-10,ANT,62641.78923
AE-C-10,CUL,95334.04279
AE-C-10,DYF-At,38372.76537
AE-C-11,CUL,55078.279
AE-C-11,DMF-At,107776.4683
AE-C-11,DYF-At,15880.36454
