Method,emmean,SE,df,asymp.LCL,asymp.UCL,mean,LCL,UCL
ARU,-1.7738892567543083,0.6114965164837582,Inf,-2.9724004057341777,-0.5753781077744389,0.16967180668512855,0.051179182108578164,0.5625045340255718
PC,-1.7048991882701021,0.6075930322689483,Inf,-2.8957596487747237,-0.5140387277654808,0.18179071188777338,0.05525582404739612,0.5980883191664351
