nrow,nlevels,successes,trials,mean,lower,upper
24,3,0,100,0,0,0.03621669264517646
296,38,100,100,1,0.9637833073548235,1
568,72,100,100,1,0.9637833073548235,1
844,107,100,100,1,0.9637833073548235,1
1089,142,100,100,1,0.9637833073548235,1
1293,176,100,100,1,0.9637833073548235,1
1491,211,100,100,1,0.9637833073548235,1
1692,246,100,100,1,0.9637833073548235,1
1890,280,100,100,1,0.9637833073548235,1
2094,315,100,100,1,0.9637833073548235,1
