nrow,nlevels,successes,trials,mean,lower,upper
614,3,63,100,0.63,0.5276483594483169,0.7244334203854486
866,4,100,100,1,0.9637833073548235,1
1090,5,100,100,1,0.9637833073548235,1
1228,6,100,100,1,0.9637833073548235,1
1704,8,100,100,1,0.9637833073548235,1
2094,10,100,100,1,0.9637833073548235,1
